time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0,0012128;-0,497803;0,464945;0,0278347;
0,0012228;-0,500812;0,467941;0,0280391;
0,0012328;-0,503799;0,470915;0,0282421;
0,0012428;-0,506761;0,473865;0,0284437;
0,0012528;-0,5097;0,476792;0,0286439;
0,0012628;-0,512616;0,479696;0,0288425;
0,0012728;-0,515507;0,482576;0,0290397;
0,0012828;-0,518374;0,485433;0,0292355;
0,0012928;-0,521217;0,488266;0,0294297;
0,0013028;-0,524035;0,491076;0,0296224;
0,0013128;-0,526829;0,493861;0,0298137;
0,0013228;-0,529599;0,496622;0,0300034;
0,0013328;-0,532343;0,499359;0,0301916;
0,0013428;-0,535063;0,502072;0,0303782;
0,0013528;-0,537757;0,50476;0,0305633;
0,0013628;-0,540427;0,507423;0,0307468;
0,0013728;-0,543071;0,510062;0,0309288;
0,0013828;-0,545689;0,512676;0,0311092;
0,0013928;-0,548283;0,515265;0,031288;
0,0014028;-0,55085;0,517828;0,0314653;
0,0014128;-0,553392;0,520367;0,0316409;
0,0014228;-0,555907;0,52288;0,0318149;
0,0014328;-0,558397;0,525367;0,0319873;
0,0014428;-0,560861;0,527829;0,0321581;
0,0014528;-0,563298;0,530266;0,0323272;
0,0014628;-0,565709;0,532676;0,0324947;
0,0014728;-0,568093;0,53506;0,0326606;
0,0014828;-0,570451;0,537419;0,0328248;
0,0014928;-0,572782;0,539751;0,0329873;
0,0015028;-0,575086;0,542057;0,0331481;
0,0015128;-0,577363;0,544336;0,0333073;
0,0015228;-0,579613;0,546589;0,0334647;
0,0015328;-0,581836;0,548816;0,0336205;
0,0015428;-0,584032;0,551015;0,0337745;
0,0015528;-0,5862;0,553188;0,0339269;
0,0015628;-0,588341;0,555334;0,0340775;
0,0015728;-0,590454;0,557453;0,0342264;
0,0015828;-0,59254;0,559544;0,0343735;
0,0015928;-0,594598;0,561609;0,0345189;
0,0016028;-0,596627;0,563646;0,0346626;
0,0016128;-0,598629;0,565655;0,0348045;
0,0016228;-0,600603;0,567637;0,0349446;
0,0016328;-0,602549;0,569592;0,0350829;
0,0016428;-0,604466;0,571519;0,0352195;
0,0016528;-0,606355;0,573417;0,0353543;
0,0016628;-0,608216;0,575288;0,0354872;
0,0016728;-0,610048;0,577131;0,0356184;
0,0016828;-0,611851;0,578946;0,0357478;
0,0016928;-0,613626;0,580733;0,0358753;
0,0017028;-0,615371;0,582492;0,0360011;
0,0017128;-0,617088;0,584222;0,036125;
0,0017228;-0,618776;0,585923;0,0362471;
0,0017328;-0,620435;0,587597;0,0363673;
0,0017428;-0,622065;0,589241;0,0364857;
0,0017528;-0,623666;0,590857;0,0366022;
0,0017628;-0,625237;0,592445;0,0367169;
0,0017728;-0,626779;0,594003;0,0368297;
0,0017828;-0,628292;0,595533;0,0369406;
0,0017928;-0,629775;0,597033;0,0370497;
0,0018028;-0,631229;0,598505;0,0371569;
0,0018128;-0,632652;0,599947;0,0372622;
0,0018228;-0,634047;0,60136;0,0373656;
0,0018328;-0,635411;0,602744;0,0374671;
0,0018428;-0,636746;0,604099;0,0375667;
0,0018528;-0,63805;0,605424;0,0376644;
0,0018628;-0,639325;0,60672;0,0377602;
0,0018728;-0,64057;0,607987;0,0378541;
0,0018828;-0,641784;0,609224;0,037946;
0,0018928;-0,642969;0,610431;0,0380361;
0,0019028;-0,644123;0,611608;0,0381242;
0,0019128;-0,645247;0,612756;0,0382103;
0,0019228;-0,646341;0,613874;0,0382945;
0,0019328;-0,647404;0,614963;0,0383768;
0,0019428;-0,648437;0,616021;0,0384572;
0,0019528;-0,649439;0,617049;0,0385355;
0,0019628;-0,650411;0,618048;0,0386119;
0,0019728;-0,651353;0,619016;0,0386864;
0,0019828;-0,652263;0,619954;0,0387589;
0,0019928;-0,653144;0,620862;0,0388294;
0,0020028;-0,653993;0,62174;0,038898;
0,0020128;-0,654812;0,622588;0,0389645;
0,0020228;-0,6556;0,623406;0,0390291;
0,0020328;-0,656357;0,624193;0,0390917;
0,0020428;-0,657083;0,62495;0,0391524;
0,0020528;-0,657779;0,625676;0,039211;
0,0020628;-0,658443;0,626372;0,0392677;
0,0020728;-0,659077;0,627038;0,0393223;
0,0020828;-0,659679;0,627673;0,039375;
0,0020928;-0,660251;0,628278;0,0394256;
0,0021028;-0,660792;0,628852;0,0394743;
0,0021128;-0,661301;0,629396;0,0395209;
0,0021228;-0,66178;0,629909;0,0395655;
0,0021328;-0,662227;0,630391;0,0396081;
0,0021428;-0,662643;0,630843;0,0396488;
0,0021528;-0,663028;0,631264;0,0396873;
0,0021628;-0,663382;0,631655;0,0397239;
0,0021728;-0,663705;0,632015;0,0397585;
0,0021828;-0,663997;0,632344;0,039791;
0,0021928;-0,664257;0,632642;0,0398215;
0,0022028;-0,664486;0,63291;0,03985;
0,0022128;-0,664684;0,633147;0,0398764;
0,0022228;-0,664851;0,633353;0,0399009;
0,0022328;-0,664987;0,633529;0,0399232;
0,0022428;-0,665091;0,633673;0,0399436;
0,0022528;-0,665164;0,633787;0,0399619;
0,0022628;-0,665205;0,63387;0,0399782;
0,0022728;-0,665216;0,633922;0,0399925;
0,0022828;-0,665195;0,633944;0,0400047;
0,0022928;-0,665143;0,633934;0,0400149;
0,0023028;-0,66506;0,633894;0,040023;
0,0023128;-0,664945;0,633823;0,0400291;
0,0023228;-0,664799;0,633722;0,0400332;
0,0023328;-0,664622;0,633589;0,0400352;
0,0023428;-0,664414;0,633426;0,0400352;
0,0023528;-0,664174;0,633232;0,0400332;
0,0023628;-0,663903;0,633007;0,0400291;
0,0023728;-0,663601;0,632752;0,0400229;
0,0023828;-0,663268;0,632465;0,0400148;
0,0023928;-0,662904;0,632148;0,0400046;
0,0024028;-0,662508;0,631801;0,0399923;
0,0024128;-0,662082;0,631422;0,039978;
0,0024228;-0,661624;0,631013;0,0399617;
0,0024328;-0,661135;0,630573;0,0399433;
0,0024428;-0,660615;0,630103;0,0399229;
0,0024528;-0,660064;0,629602;0,0399004;
0,0024628;-0,659482;0,62907;0,0398759;
0,0024728;-0,658869;0,628508;0,0398494;
0,0024828;-0,658225;0,627916;0,0398208;
0,0024928;-0,65755;0,627292;0,0397902;
0,0025028;-0,656845;0,626639;0,0397576;
0,0025128;-0,656108;0,625955;0,039723;
0,0025228;-0,655341;0,62524;0,0396863;
0,0025328;-0,654542;0,624495;0,0396475;
0,0025428;-0,653713;0,62372;0,0396068;
0,0025528;-0,652854;0,622914;0,039564;
0,0025628;-0,651963;0,622078;0,0395192;
0,0025728;-0,651042;0,621212;0,0394724;
0,0025828;-0,650091;0,620316;0,0394236;
0,0025928;-0,649109;0,61939;0,0393727;
0,0026028;-0,648096;0,618433;0,0393198;
0,0026128;-0,647053;0,617447;0,0392649;
0,0026228;-0,64598;0,61643;0,039208;
0,0026328;-0,644876;0,615384;0,0391491;
0,0026428;-0,643742;0,614307;0,0390882;
0,0026528;-0,642577;0,613201;0,0390253;
0,0026628;-0,641383;0,612065;0,0389604;
0,0026728;-0,640158;0,610899;0,0388935;
0,0026828;-0,638903;0,609704;0,0388245;
0,0026928;-0,637619;0,608479;0,0387536;
0,0027028;-0,636304;0,607224;0,0386807;
0,0027128;-0,634959;0,60594;0,0386059;
