time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0;-0,0179996;-0,0099991;-0,0099991;
1e-06;-0,0179776;-0,0100805;-0,00993513;
2e-06;-0,0179458;-0,0102181;-0,00980541;
4e-06;-0,017878;-0,0105892;-0,00943766;
8e-06;-0,0177464;-0,0117675;-0,00825442;
1,6e-05;-0,0174966;-0,0149346;-0,00508959;
2,68295e-05;-0,0171721;-0,0197302;-0,000289799;
3,93604e-05;-0,0168124;-0,0253576;0,00533534;
6,27396e-05;-0,0161545;-0,0358466;0,0158274;
0,000109498;-0,0148621;-0,0568062;0,0367845;
0,000203015;-0,0122932;-0,0985527;0,0785333;
0,000303015;-0,0095784;-0,142784;0,122762;
0,000403015;-0,00690787;-0,186378;0,166358;
0,000503015;-0,00430076;-0,229132;0,209111;
0,000603015;-0,00176708;-0,270838;0,250819;
0,000703015;0,000674283;-0,3113;0,29128;
0,000803015;0,0030143;-0,350322;0,330304;
0,000903015;0,00523496;-0,38772;0,367702;
0,00100301;0,00732835;-0,423313;0,403297;
0,00110301;0,00927767;-0,456934;0,436918;
0,00120301;0,0110763;-0,48842;0,468406;
0,00130301;0,012709;-0,517622;0,497608;
0,00140301;0,0141706;-0,544399;0,524388;
0,00150301;0,0154475;-0,568626;0,548614;
0,00160301;0,0165364;-0,590184;0,570175;
0,00170301;0,0174255;-0,608973;0,588964;
0,00180301;0,0181133;-0,6249;0,604895;
0,00190301;0,0185902;-0,637893;0,617887;
0,00200301;0,0188565;-0,647886;0,627884;
0,00210301;0,0189048;-0,654835;0,634832;
0,00220301;0,0187376;-0,658703;0,638704;
0,00230301;0,0183495;-0,659475;0,639476;
0,00240301;0,0177453;-0,657144;0,637149;
0,00250301;0,0169217;-0,651725;0,63173;
0,00260301;0,0158856;-0,643239;0,623248;
0,00270301;0,0146361;-0,631732;0,611741;
0,00280301;0,0131819;-0,617254;0,597266;
0,00290301;0,0115244;-0,599879;0,579891;
0,00300301;0,00967438;-0,579685;0,5597;
0,00310301;0,00763509;-0,556772;0,536788;
0,00320301;0,00541936;-0,531247;0,511265;
0,00330301;0,00303225;-0,503234;0,483253;
0,00340301;0,000488345;-0,472865;0,452887;
0,00350301;-0,00220556;-0,440287;0,420309;
0,00360301;-0,00503336;-0,405653;0,385678;
0,00370301;-0,00798673;-0,369132;0,349156;
0,00380301;-0,0110483;-0,330894;0,31092;
0,00390301;-0,0142083;-0,291124;0,271151;
0,00400301;-0,0174485;-0,250012;0,23004;
0,00410301;-0,0207581;-0,207754;0,187783;
0,00420301;-0,0241178;-0,164552;0,144581;
0,00430301;-0,0275163;-0,120612;0,100641;
0,00440301;-0,0309339;-0,0761426;0,0561734;
0,00450301;-0,0343585;-0,0313587;0,0113889;
0,00460301;-0,0377704;0,0135281;-0,0334968;
0,00470301;-0,0411574;0,0583018;-0,0782712;
0,00480301;-0,0444998;0,10275;-0,122719;
0,00490301;-0,0477855;0,146659;-0,166629;
0,00500301;-0,0509953;0,189821;-0,20979;
0,00510301;-0,0541176;0,232028;-0,251999;
0,00520301;-0,0571337;0,27308;-0,293051;
0,00530301;-0,0600329;0,31278;-0,332752;
0,00540301;-0,0627974;0,350939;-0,370911;
0,00550301;-0,0654175;0,387374;-0,407347;
0,00560301;-0,0678768;0,421912;-0,441886;
0,00570301;-0,0701667;0,454387;-0,474363;
0,00580301;-0,0722724;0,484645;-0,504622;
0,00590301;-0,0741868;0,512541;-0,53252;
0,00600301;-0,0758968;0,537942;-0,557922;
0,00610301;-0,0773969;0,560727;-0,580708;
0,00620301;-0,0786761;0,580786;-0,600769;
0,00630301;-0,0797306;0,598024;-0,618009;
0,00640301;-0,0805514;0,61236;-0,632346;
0,00650301;-0,081137;0,623723;-0,643711;
0,00660301;-0,0814805;0,63206;-0,65205;
0,00670301;-0,0815823;0,637332;-0,657324;
0,00680301;-0,0814378;0,639512;-0,659506;
0,00690301;-0,0810496;0,638591;-0,658587;
0,00700301;-0,0804155;0,634573;-0,654571;
0,00710301;-0,0795401;0,627477;-0,647477;
0,00720301;-0,0784236;0,617338;-0,63734;
0,00730301;-0,0770726;0,604202;-0,624206;
0,00740301;-0,0754896;0,588134;-0,60814;
0,00750301;-0,0736833;0,56921;-0,589218;
0,00760301;-0,0716583;0,54752;-0,56753;
0,00770301;-0,0694252;0,523168;-0,54318;
0,00780301;-0,0669907;0,49627;-0,516284;
0,00790301;-0,0643672;0,466955;-0,48697;
0,00800301;-0,0615631;0,435362;-0,455379;
0,00810301;-0,0585925;0,401643;-0,421661;
0,00820301;-0,0554655;0,365958;-0,385978;
0,00830301;-0,0521976;0,328478;-0,348499;
0,00840301;-0,0488003;0,289381;-0,309404;
0,00850301;-0,0452901;0,248855;-0,268879;
0,00860301;-0,0416798;0,207093;-0,227118;
0,00870301;-0,0379868;0,164295;-0,184321;
0,00880301;-0,0342247;0,120664;-0,140691;
0,00890301;-0,0304115;0,0764092;-0,0964366;
0,00900301;-0,0265615;0,0317417;-0,0517699;
0,00910301;-0,022693;-0,0131249;-0,00690356;
0,00920301;-0,0188204;-0,0579768;0,0379477;
0,00930301;-0,0149622;-0,102599;0,0825704;
0,00940301;-0,0111326;-0,14678;0,126751;
0,00950301;-0,00734996;-0,190307;0,170278;
0,00960301;-0,00362819;-0,232974;0,212945;
0,00970301;1,51638e-05;-0,274575;0,254547;
0,00980301;0,00356666;-0,314914;0,294886;
0,00990301;0,00700967;-0,353796;0,333769;
0,010003;0,0103317;-0,391037;0,37101;
0,010103;0,0135172;-0,426459;0,406433;
0,010203;0,0165549;-0,459892;0,439866;
0,010303;0,0194307;-0,491176;0,471152;
0,010403;0,0221347;-0,520163;0,50014;
0,010503;0,0246545;-0,546714;0,526692;
0,010603;0,0269817;-0,570702;0,550682;
0,010703;0,0291058;-0,592013;0,571994;
0,010803;0,0310203;-0,610545;0,590527;
0,010903;0,0327166;-0,626209;0,606193;
0,011003;0,0341902;-0,638931;0,618916;
0,011103;0,0354346;-0,648649;0,628637;
0,011203;0,0364474;-0,655319;0,635307;
0,011303;0,0372243;-0,658906;0,638897;
0,011403;0,0377649;-0,659395;0,639388;
0,011503;0,0380674;-0,656784;0,636779;
0,011603;0,0381333;-0,651084;0,63108;
0,011703;0,0379633;-0,642322;0,622321;
0,011803;0,037561;-0,630542;0,610542;
0,011903;0,0369291;-0,615798;0,595801;
0,012003;0,0360735;-0,598162;0,578166;
0,012103;0,034999;-0,577717;0,557723;
0,012203;0,0337134;-0,554562;0,534569;
0,012303;0,0322237;-0,528806;0,508815;
0,012403;0,0305394;-0,500573;0,480584;
0,012503;0,0286694;-0,469997;0,45001;
0,012603;0,0266249;-0,437225;0,417239;
0,012703;0,0244164;-0,402413;0,382429;
0,012803;0,0220567;-0,365727;0,345744;
0,012903;0,0195577;-0,327343;0,307361;
0,013003;0,0169333;-0,287443;0,267463;
0,013103;0,0141968;-0,246218;0,226239;
0,013203;0,0113631;-0,203866;0,183888;
0,013303;0,00844624;-0,160588;0,140611;
0,013403;0,0054619;-0,116591;0,096614;
0,013503;0,00242487;-0,0720843;0,0521088;
0,013603;-0,00064884;-0,0272821;0,00730638;
0,013703;-0,00374408;0,0176034;-0,037578;
0,013803;-0,00684474;0,0623564;-0,0823314;
0,013903;-0,00993558;0,106765;-0,126739;
0,014003;-0,0130007;0,150615;-0,170589;
0,014103;-0,0160251;0,193698;-0,213672;
0,014203;-0,0189935;0,235809;-0,255784;
0,014303;-0,0218912;0,276746;-0,296721;
0,014403;-0,0247038;0,316313;-0,336289;
0,014503;-0,0274176;0,354323;-0,374299;
0,014603;-0,030019;0,390593;-0,41057;
0,014703;-0,0324955;0,42495;-0,444927;
0,014803;-0,0348349;0,45723;-0,477209;
0,014903;-0,0370259;0,48728;-0,507259;
0,015003;-0,0390578;0,514954;-0,534935;
0,015103;-0,0409211;0,540123;-0,560104;
0,015203;-0,0426068;0,562663;-0,582647;
0,015303;-0,0441069;0,582471;-0,602455;
0,015403;-0,0454144;0,599448;-0,619434;
0,015503;-0,0465233;0,613516;-0,633503;
0,015603;-0,0474287;0,624606;-0,644595;
0,015703;-0,0481264;0,632667;-0,652657;
0,015803;-0,0486138;0,637658;-0,65765;
0,015903;-0,0488888;0,639557;-0,65955;
0,016003;-0,0489507;0,638354;-0,65835;
0,016103;-0,0487999;0,634055;-0,654052;
0,016203;-0,0484378;0,626681;-0,64668;
0,016303;-0,0478668;0,616267;-0,636268;
0,016403;-0,0470906;0,602862;-0,622865;
0,016503;-0,0461135;0,586532;-0,606535;
0,016603;-0,0449414;0,567352;-0,587358;
0,016703;-0,0435806;0,545416;-0,565423;
0,016803;-0,0420389;0,520828;-0,540837;
0,016903;-0,0403246;0,493705;-0,513715;
0,017003;-0,0384472;0,464176;-0,484188;
0,017103;-0,0364167;0,432384;-0,452397;
0,017203;-0,0342443;0,398479;-0,418494;
0,017303;-0,0319415;0,362624;-0,38264;
0,017403;-0,0295209;0,32499;-0,345007;
0,017503;-0,0269951;0,285756;-0,305773;
0,017603;-0,0243782;0,245109;-0,265128;
0,017703;-0,0216837;0,203245;-0,223264;
0,017803;-0,0189265;0,160362;-0,180383;
0,017903;-0,0161209;0,116666;-0,136687;
0,018003;-0,0132825;0,0723652;-0,0923869;
0,018103;-0,010426;0,0276713;-0,0476927;
0,018203;-0,00756729;-0,0172031;-0,00281923;
0,018303;-0,00472137;-0,0620424;0,0420207;
0,018403;-0,00190411;-0,106634;0,0866115;
0,018503;0,000869688;-0,150763;0,130742;
0,018603;0,00358436;-0,194221;0,174199;
0,018703;0,00622558;-0,236799;0,216778;
0,018803;0,00877822;-0,278294;0,258273;
0,018903;0,0112287;-0,318508;0,298488;
0,019003;0,0135627;-0,357249;0,337229;
0,019103;0,0157677;-0,394331;0,374313;
0,019203;0,0178305;-0,429579;0,409561;
0,019303;0,0197398;-0,462822;0,442806;
0,019403;0,0214837;-0,493904;0,473889;
0,019503;0,0230526;-0,522675;0,502661;
0,019603;0,0244361;-0,548998;0,528985;
0,019703;0,0256261;-0,572747;0,552736;
0,019803;0,0266143;-0,59381;0,5738;
0,019903;0,0273944;-0,612084;0,592076;
0,020003;0,0279598;-0,627484;0,607477;
0,020103;0,0283065;-0,639934;0,61993;
0,020203;0,0284299;-0,649378;0,629374;
0,020303;0,028328;-0,655767;0,635767;
0,020403;0,0279984;-0,659074;0,639075;
0,020503;0,0274414;-0,659281;0,639284;
0,020603;0,0266566;-0,656388;0,636392;
0,020703;0,0256466;-0,650408;0,630415;
0,020803;0,0244132;-0,641371;0,621379;
0,020903;0,022961;-0,629318;0,609329;
0,021003;0,0212942;-0,614309;0,59432;
0,021103;0,0194193;-0,596413;0,576427;
0,021203;0,0173426;-0,575718;0,555733;
0,021303;0,0150728;-0,552321;0,532339;
0,021403;0,0126179;-0,526335;0,506354;
0,021503;0,00998838;-0,497883;0,477904;
0,021603;0,00719422;-0,467102;0,447124;
0,021703;0,00424758;-0,434137;0,414161;
0,021803;0,00115991;-0,399148;0,379173;
0,021903;-0,00205511;-0,362301;0,342327;
0,022003;-0,00538471;-0,323771;0,303798;
0,022103;-0,00881397;-0,283743;0,263771;
0,022203;-0,012329;-0,242408;0,222437;
0,022303;-0,0159139;-0,199962;0,179993;
0,022403;-0,019554;-0,156611;0,136642;
0,022503;-0,0232328;-0,112558;0,0925903;
0,022603;-0,0269349;-0,0680167;0,0480487;
0,022703;-0,0306434;-0,0231976;0,00323036;
0,022803;-0,0343429;0,0216842;-0,0416515;
0,022903;-0,0380163;0,066415;-0,0863819;
0,023003;-0,0416481;0,110781;-0,130748;
0,023103;-0,0452216;0,15457;-0,174537;
0,023203;-0,0487218;0,197573;-0,217541;
0,023303;-0,0521322;0,239585;-0,259553;
0,023403;-0,0554385;0,280405;-0,300374;
0,023503;-0,0586253;0,319839;-0,339808;
0,023603;-0,0616791;0,357698;-0,377668;
0,023703;-0,0645854;0,393801;-0,413772;
0,023803;-0,0673322;0,427976;-0,447948;
0,023903;-0,0699062;0,460059;-0,480032;
0,024003;-0,0722969;0,489898;-0,509873;
0,024103;-0,0744926;0,51735;-0,537326;
0,024203;-0,0764844;0,542284;-0,562262;
0,024303;-0,0782624;0,564581;-0,58456;
0,024403;-0,0798196;0,584134;-0,604115;
0,024503;-0,081148;0,60085;-0,620832;
0,024603;-0,0822427;0,61465;-0,634634;
0,024703;-0,0830977;0,625467;-0,645452;
0,024803;-0,0837102;0,633249;-0,653237;
0,024903;-0,0840766;0,63796;-0,657949;
0,025003;-0,0841959;0,639577;-0,659568;
0,025103;-0,084067;0,638092;-0,658085;
0,025203;-0,0836911;0,633512;-0,653508;
0,025303;-0,0830692;0,62586;-0,645858;
0,025403;-0,0822049;0,615172;-0,635172;
0,025503;-0,0811014;0,601498;-0,6215;
0,025603;-0,0797643;0,584905;-0,604908;
0,025703;-0,0781989;0,565471;-0,585476;
0,025803;-0,0764131;0,543289;-0,563296;
0,025903;-0,0744141;0,518465;-0,538474;
0,026003;-0,0722116;0,491117;-0,511129;
0,026103;-0,0698149;0,461377;-0,48139;
0,026203;-0,0672354;0,429386;-0,449401;
0,026303;-0,0644839;0,395297;-0,415313;
0,026403;-0,0615735;0,359273;-0,379291;
0,026503;-0,0585166;0,321485;-0,341504;
0,026603;-0,0553274;0,282115;-0,302135;
0,026703;-0,0520196;0,24135;-0,261371;
0,026803;-0,0486084;0,199384;-0,219407;
0,026903;-0,0451086;0,156419;-0,176443;
0,027003;-0,0415362;0,112659;-0,132684;
0,027103;-0,0379064;0,0683134;-0,0883387;
0,027203;-0,034236;0,0235938;-0,0436198;
0,027303;-0,0305405;-0,0212861;0,00125971;
0,027403;-0,0268368;-0,0661122;0,0460853;
0,027503;-0,0231405;-0,11067;0,0906433;
0,027603;-0,0194684;-0,154748;0,134721;
0,027703;-0,0158359;-0,198134;0,178107;
0,027803;-0,0122593;-0,240622;0,220595;
0,027903;-0,00875363;-0,282009;0,261982;
0,028003;-0,00533442;-0,322096;0,30207;
0,028103;-0,00201572;-0,360694;0,340668;
0,028203;0,00118776;-0,397617;0,377592;
0,028303;0,0042631;-0,432689;0,412665;
0,028403;0,00719686;-0,465743;0,44572;
0,028503;0,00997745;-0,496621;0,476598;
0,028603;0,0125929;-0,525175;0,505153;
0,028703;0,0150333;-0,551269;0,531249;
0,028803;0,0172882;-0,574779;0,55476;
0,028903;0,0193496;-0,595591;0,575574;
0,029003;0,0212089;-0,613608;0,593592;
0,029103;0,0228598;-0,628742;0,608728;
0,029203;0,0242961;-0,640922;0,620909;
0,029303;0,0255134;-0,650089;0,630078;
0,029403;0,0265075;-0,6562;0,636191;
0,029503;0,0272762;-0,659225;0,639218;
0,029603;0,0278174;-0,659151;0,639144;
0,029703;0,0281313;-0,655976;0,635972;
0,029803;0,0282179;-0,649717;0,629714;
0,029903;0,0280795;-0,640403;0,620403;
0,030003;0,0277183;-0,62808;0,608081;
0,030103;0,0271387;-0,612804;0,592807;
0,030203;0,0263451;-0,594651;0,574655;
0,030303;0,025344;-0,573706;0,553712;
0,030403;0,0241418;-0,550069;0,530077;
0,030503;0,0227468;-0,523853;0,503863;
0,030603;0,0211674;-0,495184;0,475195;
0,030703;0,0194136;-0,464198;0,44421;
0,030803;0,0174955;-0,431043;0,411057;
0,030903;0,0154248;-0,395877;0,375893;
0,031003;0,0132129;-0,35887;0,338886;
0,031103;0,010873;-0,320196;0,300214;
0,031203;0,00841778;-0,280041;0,26006;
0,031303;0,00586142;-0,238597;0,218617;
0,031403;0,00321771;-0,196061;0,176082;
0,031503;0,0005016;-0,152636;0,132658;
0,031603;-0,00227237;-0,108531;0,0885534;
0,031703;-0,00508871;-0,063955;0,043978;
0,031803;-0,00793245;-0,0191214;-0,000855048;
0,031903;-0,0107878;0,0257556;-0,0457318;
0,032003;-0,0136398;0,070462;-0,0904379;
0,032103;-0,0164725;0,114784;-0,13476;
0,032203;-0,0192712;0,15851;-0,178486;
0,032303;-0,0220205;0,201432;-0,221408;
0,032403;-0,0247059;0,243344;-0,26332;
0,032503;-0,0273127;0,284046;-0,304023;
0,032603;-0,0298272;0,323345;-0,343322;
0,032703;-0,0322355;0,361051;-0,381029;
0,032803;-0,0345252;0,396986;-0,416965;
0,032903;-0,0366834;0,430977;-0,450957;
0,033003;-0,0386989;0,462863;-0,482844;
0,033103;-0,0405605;0,492491;-0,512473;
0,033203;-0,0422582;0,519719;-0,539702;
0,033303;-0,0437826;0,544418;-0,564403;
0,033403;-0,0451255;0,56647;-0,586456;
0,033503;-0,0462792;0,585769;-0,605756;
0,033603;-0,0472373;0,602223;-0,622212;
0,033703;-0,0479942;0,615754;-0,635744;
0,033803;-0,0485455;0,626297;-0,646289;
0,033903;-0,0488876;0,633802;-0,653795;
0,034003;-0,0490183;0,638232;-0,658227;
0,034103;-0,048936;0,639567;-0,659564;
