time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1
0,013003;0,0190699;-0,287448;0,267469
0,013103;0,0161128;-0,246223;0,226246
0,013203;0,0130643;-0,203871;0,183894
0,013303;0,00993874;-0,160593;0,140618
0,013403;0,00675231;-0,116596;0,0966209
0,013503;0,00352021;-0,0720899;0,0521158
0,013603;0,000258859;-0,0272877;0,00731336
0,013703;-0,00301615;0,0175978;-0,037571
0,013803;-0,0062883;0,0623508;-0,0823245
0,013903;-0,00954196;0,106759;-0,126732
0,014003;-0,0127608;0,150609;-0,170583
0,014103;-0,0159295;0,193693;-0,213666
0,014203;-0,0190323;0,235803;-0,255777
0,014303;-0,0220544;0,276741;-0,296714
0,014403;-0,0249807;0,316308;-0,336283
0,014503;-0,0277974;0,354318;-0,374293
0,014603;-0,0304906;0,390588;-0,410565
0,014703;-0,0330475;0,424946;-0,444922
0,014803;-0,0354555;0,457226;-0,477204
0,014903;-0,0377033;0,487276;-0,507255
0,015003;-0,0397798;0,514951;-0,534931
0,015103;-0,0416754;0,540119;-0,560101
0,015203;-0,0433808;0,562661;-0,582644
0,015303;-0,0448881;0,582468;-0,602452
0,015403;-0,04619;0,599446;-0,619432
0,015503;-0,0472805;0,613514;-0,633501
0,015603;-0,0481545;0,624605;-0,644594
0,015703;-0,048808;0,632665;-0,652656
0,015803;-0,0492382;0,637657;-0,65765
0,015903;-0,0494431;0,639557;-0,65955
0,016003;-0,0494222;0,638354;-0,65835
0,016103;-0,0491757;0,634056;-0,654053
0,016203;-0,0487054;0,626682;-0,646682
0,016303;-0,0480136;0,616269;-0,63627
0,016403;-0,0471042;0,602864;-0,622868
0,016503;-0,0459819;0,586534;-0,606539
0,016603;-0,0446527;0,567354;-0,587362
0,016703;-0,0431231;0,545419;-0,565427
0,016803;-0,0414013;0,52083;-0,540841
0,016903;-0,0394958;0,493708;-0,51372
0,017003;-0,0374165;0,46418;-0,484194
0,017103;-0,0351737;0,432388;-0,452403
0,017203;-0,0327791;0,398483;-0,4185
0,017303;-0,0302443;0,362629;-0,382646
0,017403;-0,0275827;0,324994;-0,345013
0,017503;-0,0248071;0,28576;-0,30578
0,017603;-0,0219321;0,245114;-0,265135
0,017703;-0,0189716;0,20325;-0,223272
0,017803;-0,015941;0,160367;-0,18039
0,017903;-0,0128553;0,116671;-0,136695
0,018003;-0,0097303;0,0723701;-0,0923945
0,018103;-0,00658143;0,0276763;-0,0477004
0,018203;-0,00342506;-0,0171982;-0,00282693
0,018303;-0,000276654;-0,0620376;0,0420129
0,018403;0,00284734;-0,106629;0,0866038
0,018503;0,00593159;-0,150759;0,130734
0,018603;0,00895989;-0,194217;0,174192
0,018703;0,0119174;-0,236794;0,21677
0,018803;0,0147884;-0,27829;0,258266
0,018903;0,0175588;-0,318504;0,298481
0,019003;0,0202138;-0,357245;0,337222
0,019103;0,0227403;-0,394327;0,374306
0,019203;0,0251246;-0,429575;0,409554
0,019303;0,0273549;-0,462819;0,4428
0,019403;0,0294189;-0,493902;0,473883
0,019503;0,0313064;-0,522673;0,502656
0,019603;0,0330065;-0,548996;0,52898
0,019703;0,0345108;-0,572746;0,552731
0,019803;0,0358104;-0,593809;0,573795
0,019903;0,0368986;-0,612083;0,592072
0,020003;0,0377686;-0,627483;0,607473
0,020103;0,0384158;-0,639934;0,619927
0,020203;0,0388353;-0,649378;0,629372
0,020303;0,0390248;-0,655768;0,635764
0,020403;0,0389816;-0,659076;0,639073
0,020503;0,0387055;-0,659283;0,639282
0,020603;0,038196;-0,65639;0,636391
0,020703;0,0374554;-0,650411;0,630414
0,020803;0,0364853;-0,641374;0,621379
0,020903;0,03529;-0,629322;0,609329
0,021003;0,0338735;-0,614313;0,594321
0,021103;0,0322424;-0,596417;0,576428
0,021203;0,0304025;-0,575723;0,555735
0,021303;0,0283624;-0,552326;0,532341
0,021403;0,0261302;-0,52634;0,506356
0,021503;0,0237162;-0,497889;0,477907
0,021603;0,0211303;-0,467108;0,447127
0,021703;0,0183847;-0,434144;0,414165
0,021803;0,0154907;-0,399155;0,379177
0,021903;0,012462;-0,362307;0,342331
0,022003;0,00931138;-0,323778;0,303802
0,022103;0,00605383;-0,28375;0,263776
0,022203;0,00270325;-0,242415;0,222441
0,022303;-0,000724424;-0,19997;0,179998
0,022403;-0,00421443;-0,156618;0,136646
0,022503;-0,00775011;-0,112566;0,0925951
0,022603;-0,0113161;-0,0680242;0,0480536
0,022703;-0,0148954;-0,0232052;0,00323537
0,022803;-0,0184725;0,0216766;-0,0416465
0,022903;-0,02203;0,0664075;-0,0863769
0,023003;-0,0255526;0,110773;-0,130743
0,023103;-0,0290232;0,154563;-0,174532
0,023203;-0,0324267;0,197566;-0,217536
0,023303;-0,0357467;0,239578;-0,259548
0,023403;-0,0389685;0,280399;-0,30037
0,023503;-0,0420767;0,319833;-0,339804
0,023603;-0,0450577;0,357691;-0,377664
0,023703;-0,0478968;0,393795;-0,413768
0,023803;-0,0505818;0,42797;-0,447944
0,023903;-0,0530995;0,460054;-0,480029
0,024003;-0,0554391;0,489893;-0,50987
0,024103;-0,0575889;0,517346;-0,537323
0,024203;-0,0595397;0,54228;-0,562259
0,024303;-0,0612819;0,564577;-0,584558
0,024403;-0,062808;0,584131;-0,604113
0,024503;-0,0641102;0,600847;-0,620831
0,024603;-0,0651833;0,614647;-0,634633
0,024703;-0,0660216;0,625464;-0,645452
0,024803;-0,0666218;0,633247;-0,653237
0,024903;-0,0669806;0,637959;-0,65795
0,025003;-0,067097;0,639576;-0,659569
0,025103;-0,0669696;0,638092;-0,658087
0,025203;-0,0666;0,633512;-0,65351
0,025303;-0,0659889;0,625861;-0,64586
0,025403;-0,06514;0,615173;-0,635174
0,025503;-0,0640566;0,6015;-0,621503
0,025603;-0,0627443;0,584907;-0,604912
0,025703;-0,0612085;0,565473;-0,58548
0,025803;-0,0594571;0,543291;-0,5633
0,025903;-0,0574975;0,518468;-0,538478
0,026003;-0,0553395;0,491121;-0,511133
0,026103;-0,0529923;0,461381;-0,481395
0,026203;-0,0504675;0,42939;-0,449406
0,026303;-0,0477761;0,395302;-0,415319
0,026403;-0,0449312;0,359277;-0,379296
0,026503;-0,0419454;0,32149;-0,34151
0,026603;-0,038833;0,28212;-0,302141
0,026703;-0,0356078;0,241355;-0,261377
0,026803;-0,0322854;0,19939;-0,219413
0,026903;-0,0288802;0,156425;-0,176449
0,027003;-0,0254088;0,112665;-0,13269
0,027103;-0,0218863;0,0683193;-0,0883453
0,027203;-0,0183297;0,0235998;-0,0436264
0,027303;-0,0147546;-0,0212801;0,00125312
0,027403;-0,011178;-0,0661062;0,0460788
0,027503;-0,00761565;-0,110664;0,0906368
0,027603;-0,00408444;-0,154742;0,134714
0,027703;-0,000599862;-0,198128;0,178101
0,027803;0,00282164;-0,240616;0,220589
0,027903;0,00616513;-0,282003;0,261976
0,028003;0,00941489;-0,322091;0,302065
0,028103;0,0125568;-0,360689;0,340663
0,028203;0,0155763;-0,397612;0,377587
0,028303;0,0184602;-0,432684;0,41266
0,028403;0,0211953;-0,465739;0,445715
0,028503;0,0237699;-0,496616;0,476594
0,028603;0,0261721;-0,525171;0,50515
0,028703;0,0283919;-0,551265;0,531246
0,028803;0,0304193;-0,574775;0,554757
0,028903;0,032246;-0,595588;0,575571
0,029003;0,0338638;-0,613605;0,59359
0,029103;0,0352665;-0,62874;0,608726
0,029203;0,0364479;-0,64092;0,620908
0,029303;0,0374039;-0,650088;0,630077
0,029403;0,0381304;-0,656199;0,63619
0,029503;0,0386256;-0,659225;0,639218
0,029603;0,0388877;-0,65915;0,639145
0,029703;0,0389169;-0,655976;0,635973
0,029803;0,0387137;-0,649718;0,629716
0,029903;0,0382805;-0,640404;0,620405
0,030003;0,0376202;-0,628081;0,608083
0,030103;0,0367373;-0,612806;0,59281
0,030203;0,0356367;-0,594653;0,574659
0,030303;0,0343251;-0,573708;0,553716
0,030403;0,0328095;-0,550072;0,530081
0,030503;0,0310986;-0,523856;0,503867
0,030603;0,0292012;-0,495187;0,4752
0,030703;0,0271278;-0,464201;0,444216
0,030803;0,0248889;-0,431047;0,411063
0,030903;0,0224968;-0,395882;0,375899
0,031003;0,0199634;-0,358874;0,338893
0,031103;0,0173023;-0,3202;0,30022
0,031203;0,0145267;-0,280046;0,260067
0,031303;0,0116515;-0,238601;0,218624
0,031403;0,0086908;-0,196066;0,176089
0,031503;0,0056602;-0,152641;0,132665
0,031603;0,00257475;-0,108536;0,0885606
0,031703;-0,000549518;-0,0639602;0,0439853
0,031803;-0,0036971;-0,0191267;-0,000847764
0,031903;-0,0068517;0,0257503;-0,0457246
0,032003;-0,00999771;0,0704567;-0,0904307
0,032103;-0,0131189;0,114779;-0,134753
0,032203;-0,0161998;0,158505;-0,178479
0,032303;-0,0192246;0,201427;-0,221401
0,032403;-0,0221782;0,243339;-0,263314
0,032503;-0,0250456;0,284042;-0,304017
0,032603;-0,0278125;0,32334;-0,343316
0,032703;-0,0304647;0,361047;-0,381023
0,032803;-0,0329891;0,396982;-0,416959
0,032903;-0,0353727;0,430974;-0,450952
0,033003;-0,0376036;0,46286;-0,482839
0,033103;-0,0396703;0,492488;-0,512468
0,033203;-0,0415626;0,519716;-0,539698
0,033303;-0,0432706;0,544416;-0,564399
0,033403;-0,0447859;0,566468;-0,586452
0,033503;-0,0461003;0,585767;-0,605753
0,033603;-0,0472074;0,602222;-0,622209
0,033703;-0,0481011;0,615753;-0,635742
0,033803;-0,0487771;0,626296;-0,646287
0,033903;-0,0492313;0,633801;-0,653794
0,034003;-0,0494616;0,638232;-0,658226
0,034103;-0,0494662;0,639568;-0,659564
0,034203;-0,0492449;0,637802;-0,657799
0,034303;-0,0487984;0,632942;-0,652942
0,034403;-0,0481288;0,625013;-0,645014
0,034503;-0,0472387;0,614051;-0,634055
0,034603;-0,0461325;0,60011;-0,620115
0,034703;-0,0448151;0,583255;-0,603262
0,034803;-0,0432929;0,563568;-0,583576
0,034903;-0,0415728;0,541141;-0,561152
0,035003;-0,0396632;0,516083;-0,536095
0,035103;-0,037573;0,488513;-0,508527
0,035203;-0,0353123;0,458563;-0,478578
0,035303;-0,032892;0,426375;-0,446392
0,035403;-0,0303236;0,392104;-0,412122
0,035503;-0,0276195;0,355912;-0,375932
0,035603;-0,0247929;0,317974;-0,337994
