time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1
0,122703;-0,0148955;-0,0232053;0,00323527
0,122803;-0,0184724;0,0216767;-0,0416464
0,122903;-0,0220301;0,0664074;-0,086377
0,123003;-0,0255525;0,110773;-0,130743
0,123103;-0,0290233;0,154562;-0,174532
0,123203;-0,0324266;0,197566;-0,217536
0,123303;-0,0357468;0,239578;-0,259548
0,123403;-0,0389684;0,280399;-0,30037
0,123503;-0,0420768;0,319833;-0,339804
0,123603;-0,0450576;0,357692;-0,377664
0,123703;-0,0478969;0,393795;-0,413768
0,123803;-0,0505817;0,42797;-0,447944
0,123903;-0,0530996;0,460054;-0,480029
0,124003;-0,055439;0,489893;-0,50987
0,124103;-0,057589;0,517346;-0,537323
0,124203;-0,0595396;0,54228;-0,562259
0,124303;-0,061282;0,564577;-0,584558
0,124403;-0,0628079;0,584131;-0,604113
0,124503;-0,0641103;0,600847;-0,620831
0,124603;-0,0651832;0,614647;-0,634633
0,124703;-0,0660217;0,625464;-0,645452
0,124803;-0,0666217;0,633247;-0,653237
0,124903;-0,0669807;0,637958;-0,65795
0,125003;-0,0670969;0,639576;-0,659569
0,125103;-0,0669697;0,638091;-0,658087
0,125203;-0,0665999;0,633512;-0,65351
0,125303;-0,065989;0,625861;-0,64586
0,125403;-0,0651399;0,615173;-0,635174
0,125503;-0,0640567;0,6015;-0,621503
0,125603;-0,0627442;0,584907;-0,604912
0,125703;-0,0612086;0,565473;-0,58548
0,125803;-0,0594571;0,543291;-0,5633
0,125903;-0,0574976;0,518468;-0,538478
0,126003;-0,0553394;0,491121;-0,511133
0,126103;-0,0529923;0,461381;-0,481395
0,126203;-0,0504674;0,42939;-0,449406
0,126303;-0,0477762;0,395302;-0,415319
0,126403;-0,0449312;0,359278;-0,379296
0,126503;-0,0419455;0,32149;-0,34151
0,126603;-0,038833;0,28212;-0,302141
0,126703;-0,0356079;0,241355;-0,261377
0,126803;-0,0322853;0,19939;-0,219413
0,126903;-0,0288803;0,156425;-0,176449
0,127003;-0,0254087;0,112665;-0,13269
0,127103;-0,0218864;0,0683193;-0,0883453
0,127203;-0,0183296;0,0235998;-0,0436264
0,127303;-0,0147547;-0,0212801;0,00125308
0,127403;-0,0111779;-0,0661062;0,0460788
0,127503;-0,00761572;-0,110664;0,0906368
0,127603;-0,00408437;-0,154742;0,134714
0,127703;-0,000599938;-0,198128;0,178101
0,127803;0,00282171;-0,240616;0,220589
0,127903;0,00616506;-0,282003;0,261976
0,128003;0,00941496;-0,322091;0,302065
0,128103;0,0125568;-0,360689;0,340663
0,128203;0,0155763;-0,397612;0,377587
0,128303;0,0184602;-0,432684;0,41266
0,128403;0,0211953;-0,465739;0,445715
0,128503;0,0237698;-0,496617;0,476594
0,128603;0,0261721;-0,525171;0,50515
0,128703;0,0283919;-0,551265;0,531246
0,128803;0,0304194;-0,574775;0,554757
0,128903;0,0322459;-0,595588;0,575571
0,129003;0,0338639;-0,613605;0,59359
0,129103;0,0352664;-0,62874;0,608726
0,129203;0,0364479;-0,64092;0,620908
0,129303;0,0374038;-0,650088;0,630077
0,129403;0,0381305;-0,656199;0,63619
0,129503;0,0386256;-0,659225;0,639218
0,129603;0,0388877;-0,65915;0,639145
0,129703;0,0389168;-0,655976;0,635973
0,129803;0,0387137;-0,649718;0,629716
0,129903;0,0382805;-0,640404;0,620405
0,130003;0,0376203;-0,628081;0,608083
0,130103;0,0367372;-0,612806;0,59281
0,130203;0,0356367;-0,594653;0,574659
0,130303;0,0343251;-0,573708;0,553716
0,130403;0,0328096;-0,550072;0,530081
0,130503;0,0310986;-0,523856;0,503867
0,130603;0,0292012;-0,495187;0,4752
0,130703;0,0271277;-0,464201;0,444216
0,130803;0,024889;-0,431047;0,411063
0,130903;0,0224967;-0,395882;0,375899
0,131003;0,0199634;-0,358874;0,338893
0,131103;0,0173022;-0,3202;0,30022
0,131203;0,0145268;-0,280046;0,260067
0,131303;0,0116514;-0,238601;0,218624
0,131403;0,00869085;-0,196066;0,176089
0,131503;0,00566016;-0,152641;0,132665
0,131603;0,00257479;-0,108536;0,0885606
0,131703;-0,000549562;-0,0639602;0,0439853
0,131803;-0,00369706;-0,0191267;-0,000847774
0,131903;-0,00685175;0,0257503;-0,0457245
0,132003;-0,00999767;0,0704567;-0,0904307
0,132103;-0,0131189;0,114779;-0,134753
0,132203;-0,0161997;0,158505;-0,178479
0,132303;-0,0192246;0,201427;-0,221401
0,132403;-0,0221782;0,243339;-0,263314
0,132503;-0,0250456;0,284042;-0,304017
0,132603;-0,0278125;0,32334;-0,343316
0,132703;-0,0304648;0,361047;-0,381023
0,132803;-0,0329891;0,396982;-0,416959
0,132903;-0,0353727;0,430974;-0,450952
0,133003;-0,0376036;0,46286;-0,482839
0,133103;-0,0396704;0,492488;-0,512468
0,133203;-0,0415626;0,519716;-0,539698
0,133303;-0,0432707;0,544416;-0,564399
0,133403;-0,0447858;0,566468;-0,586452
0,133503;-0,0461003;0,585767;-0,605753
0,133603;-0,0472073;0,602222;-0,622209
0,133703;-0,0481012;0,615753;-0,635742
0,133803;-0,048777;0,626296;-0,646287
0,133903;-0,0492314;0,633801;-0,653794
0,134003;-0,0494616;0,638232;-0,658226
0,134103;-0,0494662;0,639568;-0,659564
0,134203;-0,0492449;0,637802;-0,657799
0,134303;-0,0487984;0,632942;-0,652942
0,134403;-0,0481287;0,625013;-0,645014
0,134503;-0,0472387;0,614051;-0,634055
0,134603;-0,0461325;0,60011;-0,620115
0,134703;-0,0448151;0,583255;-0,603262
0,134803;-0,0432929;0,563568;-0,583576
0,134903;-0,0415728;0,541141;-0,561152
0,135003;-0,0396632;0,516083;-0,536095
0,135103;-0,037573;0,488513;-0,508527
0,135203;-0,0353123;0,458563;-0,478578
0,135303;-0,032892;0,426375;-0,446392
0,135403;-0,0303236;0,392104;-0,412122
0,135503;-0,0276196;0,355912;-0,375932
0,135603;-0,0247929;0,317974;-0,337994
0,135703;-0,0218573;0,278469;-0,29849
0,135803;-0,0188271;0,237587;-0,257609
0,135903;-0,0157168;0,195522;-0,215546
0,136003;-0,0125417;0,152476;-0,172501
0,136103;-0,00931717;0,108655;-0,12868
0,136203;-0,00605903;0,0642664;-0,0842919
0,136303;-0,00278317;0,0195236;-0,0395495
0,136403;0,000494354;-0,0253602;0,00533406
0,136503;0,00375746;-0,0701706;0,0501444
0,136603;0,0069901;-0,114694;0,0946675
0,136703;0,0101763;-0,158717;0,138691
0,136803;0,0133004;-0,20203;0,182004
0,136903;0,0163469;-0,244426;0,224401
0,137003;0,0193007;-0,285703;0,265678
0,137103;0,0221469;-0,325663;0,305639
0,137203;0,0248715;-0,364116;0,344093
0,137303;0,0274608;-0,400878;0,380856
0,137403;0,0299016;-0,435774;0,415752
0,137503;0,0321816;-0,468637;0,448616
0,137603;0,0342892;-0,499309;0,47929
0,137703;0,0362136;-0,527645;0,507627
0,137803;0,0379447;-0,55351;0,533493
0,137903;0,0394735;-0,576779;0,556764
0,138003;0,0407919;-0,597342;0,577328
0,138103;0,0418927;-0,6151;0,595088
0,138203;0,0427698;-0,629969;0,609958
0,138303;0,0434181;-0,641877;0,621869
0,138403;0,0438336;-0,650769;0,630762
0,138503;0,0440133;-0,6566;0,636595
0,138603;0,0439556;-0,659344;0,639341
0,138703;0,0436597;-0,658988;0,638987
0,138803;0,043126;-0,655532;0,635533
0,138903;0,0423561;-0,648995;0,628997
0,139003;0,0413527;-0,639406;0,61941
0,139103;0,0401195;-0,626811;0,606818
0,139203;0,0386615;-0,611271;0,59128
0,139303;0,0369845;-0,592861;0,572871
0,139403;0,0350956;-0,571667;0,551679
0,139503;0,0330026;-0,547791;0,527805
0,139603;0,0307146;-0,521347;0,501363
0,139703;0,0282413;-0,492462;0,472479
0,139803;0,0255937;-0,461272;0,441291
0,139903;0,0227831;-0,427928;0,407949
0,140003;0,019822;-0,392588;0,372611
0,140103;0,0167235;-0,355422;0,335445
0,140203;0,0135012;-0,316606;0,296631
0,140303;0,0101695;-0,276326;0,256352
0,140403;0,00674319;-0,234774;0,214801
0,140503;0,00323763;-0,192149;0,172177
0,140603;-0,000331542;-0,148654;0,128683
0,140703;-0,00394833;-0,104498;0,0845269
0,140803;-0,00759651;-0,0598895;0,0399194
0,140903;-0,0112597;-0,0150432;-0,0049265
0,141003;-0,0149215;0,0298272;-0,0497966
0,141103;-0,0185654;0,0745075;-0,0944767
0,141203;-0,0221749;0,118784;-0,138753
0,141303;-0,025734;0,162446;-0,182415
0,141403;-0,0292266;0,205284;-0,225254
0,141503;-0,0326369;0,247095;-0,267065
0,141603;-0,0359497;0,287677;-0,307648
0,141703;-0,0391501;0,326839;-0,34681
0,141803;-0,0422238;0,364392;-0,384364
0,141903;-0,0451569;0,400157;-0,42013
0,142003;-0,0479364;0,433964;-0,453938
0,142103;-0,0505499;0,465651;-0,485626
0,142203;-0,0529857;0,495066;-0,515042
0,142303;-0,0552332;0,52207;-0,542048
0,142403;-0,0572823;0,546534;-0,566512
0,142503;-0,059124;0,56834;-0,58832
0,142603;-0,0607504;0,587384;-0,607366
0,142703;-0,0621544;0,603576;-0,623559
0,142803;-0,0633301;0,616838;-0,636823
0,142903;-0,0642725;0,627107;-0,647094
0,143003;-0,0649779;0,634334;-0,654322
0,143103;-0,0654434;0,638484;-0,658474
0,143203;-0,0656675;0,639537;-0,65953
0,143303;-0,0656497;0,637489;-0,657484
0,143403;-0,0653907;0,632349;-0,652346
0,143503;-0,0648922;0,624143;-0,644141
0,143603;-0,0641571;0,612908;-0,632908
0,143703;-0,0631894;0,598698;-0,618701
0,143803;-0,0619942;0,581583;-0,601587
0,143903;-0,0605776;0,561642;-0,581648
0,144003;-0,0589467;0,538972;-0,55898
0,144103;-0,0571096;0,51368;-0,53369
0,144203;-0,0550756;0,485888;-0,5059
0,144303;-0,0528545;0,455728;-0,475741
0,144403;-0,0504573;0,423344;-0,443359
0,144503;-0,0478955;0,388891;-0,408908
0,144603;-0,0451817;0,352534;-0,372551
0,144703;-0,0423289;0,314445;-0,334464
0,144803;-0,0393509;0,274807;-0,294827
0,144903;-0,036262;0,233809;-0,25383
0,145003;-0,0330769;0,191647;-0,211669
0,145103;-0,029811;0,148522;-0,168545
0,145203;-0,0264798;0,10464;-0,124664
0,145303;-0,0230992;0,0602107;-0,0802355
0,145403;-0,0196851;0,0154462;-0,0354715
0,145503;-0,016254;-0,0294399;0,00941418
0,145603;-0,0128218;-0,0742331;0,0542071
0,145703;-0,00940497;-0,11872;0,0986935
0,145803;-0,00601948;-0,162687;0,142661
0,145903;-0,00268129;-0,205925;0,185899
0,146003;0,000593954;-0,248228;0,228202
0,146103;0,00379091;-0,289393;0,269368
0,146203;0,00689466;-0,329224;0,309199
0,146303;0,00989075;-0,367531;0,347507
0,146403;0,0127653;-0,404131;0,384107
0,146503;0,015505;-0,438849;0,418826
0,146603;0,0180972;-0,471518;0,451497
0,146703;0,0205301;-0,501985;0,481964
0,146803;0,0227926;-0,530101;0,510082
0,146903;0,0248743;-0,555735;0,535717
0,147003;0,0267661;-0,578763;0,558746
0,147103;0,0284594;-0,599074;0,579059
0,147203;0,0299467;-0,616573;0,596559
0,147303;0,0312218;-0,631176;0,611163
0,147403;0,0322791;-0,642812;0,622801
0,147503;0,0331143;-0,651427;0,631418
0,147603;0,0337242;-0,656979;0,636971
0,147703;0,0341066;-0,659441;0,639436
0,147803;0,0342606;-0,658803;0,638799
0,147903;0,0341861;-0,655067;0,635065
0,148003;0,0338843;-0,64825;0,62825
0,148103;0,0333577;-0,638386;0,618387
0,148203;0,0326094;-0,625521;0,605524
0,148303;0,0316441;-0,609717;0,589722
0,148403;0,0304672;-0,591049;0,571056
0,148503;0,0290853;-0,569607;0,549616
0,148603;0,0275059;-0,545493;0,525504
0,148703;0,0257376;-0,518822;0,498834
0,148803;0,0237896;-0,489721;0,469735
0,148903;0,0216724;-0,45833;0,438345
0,149003;0,0193971;-0,424797;0,404814
0,149103;0,0169754;-0,389285;0,369303
0,149203;0,01442;-0,351961;0,33198
0,149303;0,0117442;-0,313004;0,293025
0,149403;0,00896173;-0,2726;0,252622
0,149503;0,00608693;-0,230943;0,210965
0,149603;0,0031346;-0,18823;0,168254
0,149703;0,00011989;-0,144667;0,124691
0,149803;-0,00294174;-0,10046;0,0804849
0,149903;-0,00603461;-0,0558215;0,0358468
0,150003;-0,00914287;-0,0109642;-0,00901015
0,150103;-0,0122506;0,0338978;-0,0538719
0,150203;-0,0153419;0,0785501;-0,0985241
0,150303;-0,018401;0,12278;-0,142754
0,150403;-0,0214121;0,166375;-0,186349
0,150503;-0,0243599;0,209128;-0,229103
0,150603;-0,0272291;0,250835;-0,27081
0,150703;-0,0300051;0,291297;-0,311272
0,150803;-0,0326735;0,33032;-0,350296
0,150903;-0,0352205;0,367717;-0,387694
0,151003;-0,037633;0,403311;-0,423289
0,151103;-0,0398984;0,436932;-0,456911
0,151203;-0,0420048;0,468419;-0,488398
0,151303;-0,0439413;0,497621;-0,517602
0,151403;-0,0456975;0,524399;-0,544381
0,151503;-0,0472641;0,548625;-0,568609
0,151603;-0,0486327;0,570184;-0,590169
0,151703;-0,0497958;0,588973;-0,608959
0,151803;-0,0507468;0,604901;-0,62489
0,151903;-0,0514804;0,617894;-0,637884
0,152003;-0,0519921;0,627888;-0,647879
0,152103;-0,0522787;0,634836;-0,65483
0,152203;-0,0523378;0,638705;-0,658701
0,152303;-0,0521683;0,639477;-0,659474
0,152403;-0,0517704;0,637147;-0,657146
0,152503;-0,0511449;0,631728;-0,651728
0,152603;-0,0502943;0,623244;-0,643246
0,152703;-0,0492217;0,611736;-0,63174
0,152803;-0,0479316;0,597259;-0,617266
0,152903;-0,0464295;0,579883;-0,599891
0,153003;-0,0447218;0,55969;-0,5797
0,153103;-0,042816;0,536777;-0,556789
0,153203;-0,0407207;0,511253;-0,531267
0,153303;-0,0384452;0,48324;-0,503255
0,153403;-0,0359998;0,452872;-0,472889
0,153503;-0,0333957;0,420294;-0,440312
0,153603;-0,0306449;0,385661;-0,40568
0,153703;-0,0277599;0,349139;-0,369159
0,153803;-0,0247541;0,310901;-0,330923
0,153903;-0,0216414;0,271132;-0,291155
0,154003;-0,0184364;0,23002;-0,250044
0,154103;-0,0151539;0,187762;-0,207787
0,154203;-0,0118094;0,14456;-0,164585
0,154303;-0,00841846;0,100619;-0,120646
0,154403;-0,00499708;0,0561509;-0,0761777
0,154503;-0,00156135;0,0113665;-0,0313937
0,154603;0,00187251;-0,0335199;0,0134925
0,154703;0,00528824;-0,078294;0,0582664
0,154803;0,00866968;-0,122742;0,102714
0,154903;0,0120008;-0,166652;0,146624
0,155003;0,0152656;-0,209813;0,189786
0,155103;0,0184487;-0,252021;0,231994
0,155203;0,0215348;-0,293073;0,273046
0,155303;0,0245091;-0,332773;0,312747
0,155403;0,0273574;-0,370932;0,350907
0,155503;0,0300659;-0,407368;0,387344
0,155603;0,0326216;-0,441906;0,421883
0,155703;0,035012;-0,474381;0,45436
0,155803;0,0372256;-0,50464;0,484619
0,155903;0,0392515;-0,532536;0,512517
0,156003;0,0410799;-0,557938;0,53792
0,156103;0,0427015;-0,580723;0,560706
0,156203;0,0441084;-0,600782;0,580768
0,156303;0,0452935;-0,618021;0,598008
0,156403;0,0462507;-0,632357;0,612345
0,156503;0,0469749;-0,64372;0,623711
0,156603;0,0474624;-0,652058;0,63205
0,156703;0,0477101;-0,65733;0,637324
0,156803;0,0477166;-0,659511;0,639507
0,156903;0,047481;-0,65859;0,638588
0,157003;0,0470041;-0,654573;0,634573
0,157103;0,0462874;-0,647477;0,62748
0,157203;0,0453338;-0,637338;0,617342
0,157303;0,044147;-0,624203;0,604209
0,157403;0,0427322;-0,608136;0,588144
0,157503;0,0410954;-0,589212;0,569222
0,157603;0,0392435;-0,567522;0,547534
0,157703;0,0371848;-0,543171;0,523184
0,157803;0,0349282;-0,516273;0,496289
0,157903;0,0324836;-0,486958;0,466975
0,158003;0,0298621;-0,455366;0,435384
0,158103;0,0270751;-0,421647;0,401667
0,158203;0,0241352;-0,385962;0,365984
0,158303;0,0210554;-0,348482;0,328505
0,158403;0,0178496;-0,309386;0,28941
0,158503;0,0145322;-0,26886;0,248886
0,158603;0,0111181;-0,227099;0,207125
0,158703;0,00762254;-0,1843;0,164327
0,158803;0,00406132;-0,140669;0,120698
0,158903;0,000450421;-0,0964147;0,0764435
0,159003;-0,0031939;-0,0517474;0,0317768
0,159103;-0,00685525;-0,00688069;-0,0130894
0,159203;-0,0105172;0,0379711;-0,0579409
0,159303;-0,0141632;0,0825938;-0,102563
0,159403;-0,017777;0,126774;-0,146744
0,159503;-0,0213423;0,170302;-0,190272
0,159603;-0,0248432;0,212968;-0,232938
0,159703;-0,028264;0,25457;-0,274541
0,159803;-0,0315895;0,294909;-0,31488
0,159903;-0,0348048;0,333792;-0,353763
0,160003;-0,0378956;0,371033;-0,391005
0,160103;-0,0408483;0,406454;-0,426427
0,160203;-0,0436498;0,439887;-0,459861
0,160303;-0,0462879;0,471172;-0,491147
0,160403;-0,0487509;0,50016;-0,520136
0,160503;-0,0510282;0,526711;-0,546688
0,160603;-0,0531101;0,550699;-0,570678
0,160703;-0,0549875;0,572011;-0,591991
0,160803;-0,0566526;0,590543;-0,610525
0,160903;-0,0580985;0,606207;-0,626191
0,161003;-0,0593193;0,618929;-0,638915
0,161103;-0,0603102;0,628648;-0,648635
0,161203;-0,0610675;0,635318;-0,655307
0,161303;-0,0615885;0,638906;-0,658897
0,161403;-0,0618719;0,639396;-0,659388
0,161503;-0,0619171;0,636784;-0,656779
0,161603;-0,061725;0,631085;-0,651081
0,161703;-0,0612974;0,622324;-0,642322
0,161803;-0,0606374;0,610544;-0,630544
0,161903;-0,0597488;0,595801;-0,615803
0,162003;-0,058637;0,578165;-0,598169
0,162103;-0,057308;0,55772;-0,577726
0,162203;-0,0557692;0,534565;-0,554573
0,162303;-0,0540286;0,50881;-0,528819
0,162403;-0,0520955;0,480577;-0,500588
0,162503;-0,0499797;0,450002;-0,470014
0,162603;-0,0476923;0,41723;-0,437244
0,162703;-0,0452449;0,382418;-0,402434
0,162803;-0,0426498;0,345733;-0,365749
0,162903;-0,0399203;0,307348;-0,327367
0,163003;-0,0370699;0,267449;-0,287468
0,163103;-0,034113;0,226224;-0,246245
0,163203;-0,0310643;0,183872;-0,203894
0,163303;-0,0279389;0,140594;-0,160617
0,163403;-0,0247524;0,0965971;-0,11662
0,163503;-0,0215204;0,052091;-0,0721147
0,163603;-0,0182589;0,0072884;-0,0273126
0,163703;-0,014984;-0,0375967;0,0175721
0,163803;-0,0117117;-0,0823501;0,0623252
0,163903;-0,00845818;-0,126758;0,106733
0,164003;-0,00523922;-0,170608;0,150583
0,164103;-0,00207059;-0,213692;0,193667
0,164203;0,00103226;-0,255802;0,235778
0,164303;0,00405423;-0,29674;0,276715
0,164403;0,00698063;-0,336308;0,316284
0,164503;0,00979727;-0,374317;0,354294
0,164603;0,0124905;-0,410587;0,390565
0,164703;0,0150473;-0,444945;0,424924
0,164803;0,0174554;-0,477225;0,457205
0,164903;0,0197031;-0,507275;0,487256
0,165003;0,0217797;-0,53495;0,514932
0,165103;0,0236753;-0,560118;0,540102
0,165203;0,0253807;-0,58266;0,562645
0,165303;0,026888;-0,602467;0,582453
0,165403;0,0281899;-0,619445;0,599433
0,165503;0,0292804;-0,633513;0,613502
0,165603;0,0301544;-0,644604;0,624595
0,165703;0,0308079;-0,652664;0,632657
0,165803;0,0312381;-0,657656;0,637651
0,165903;0,031443;-0,659555;0,639552
0,166003;0,0314221;-0,658353;0,638351
0,166103;0,0311756;-0,654055;0,634055
0,166203;0,0307052;-0,646681;0,626683
0,166303;0,0300135;-0,636267;0,616271
0,166403;0,0291041;-0,622863;0,602868
0,166503;0,0279818;-0,606533;0,58654
0,166603;0,0266525;-0,587354;0,567362
0,166703;0,025123;-0,565418;0,545428
0,166803;0,0234012;-0,54083;0,520842
0,166903;0,0214957;-0,513707;0,493721
0,167003;0,0194164;-0,484179;0,464194
0,167103;0,0171737;-0,452387;0,432404
0,167203;0,0147789;-0,418483;0,398501
0,167303;0,0122443;-0,382628;0,362647
0,167403;0,00958253;-0,344993;0,325014
0,167503;0,00680706;-0,305759;0,285781
0,167603;0,0039319;-0,265113;0,245136
0,167703;0,000971528;-0,223249;0,203273
0,167803;-0,00205913;-0,180366;0,160391
0,167903;-0,00514478;-0,13667;0,116696
0,168003;-0,00826987;-0,0923694;0,0723952
0,168103;-0,0114186;-0,0476752;0,0277015
0,168203;-0,0145751;-0,00280108;-0,0171723
0,168303;-0,0177234;0,0420387;-0,0620119
0,168403;-0,0208475;0,0866299;-0,106603
0,168503;-0,0239316;0,13076;-0,150733
0,168603;-0,0269601;0,174217;-0,194191
0,168703;-0,0299174;0,216796;-0,236769
0,168803;-0,0327886;0,258291;-0,278265
0,168903;-0,0355588;0,298505;-0,31848
0,169003;-0,038214;0,337246;-0,357221
0,169103;-0,0407403;0,374329;-0,394305
0,169203;-0,0431248;0,409576;-0,429553
0,169303;-0,045355;0,44282;-0,462799
0,169403;-0,0474191;0,473902;-0,493882
0,169503;-0,0493064;0,502674;-0,522655
0,169603;-0,0510067;0,528997;-0,548979
0,169703;-0,0525108;0,552747;-0,57273
0,169803;-0,0538106;0,573809;-0,593794
0,169903;-0,0548987;0,592084;-0,612071
0,170003;-0,0557688;0,607484;-0,627472
0,170103;-0,0564158;0,619935;-0,639926
0,170203;-0,0568355;0,629379;-0,649371
0,170303;-0,0570248;0,635769;-0,655763
0,170403;-0,0569817;0,639076;-0,659072
0,170503;-0,0567055;0,639284;-0,659281
0,170603;-0,0561962;0,636391;-0,656391
0,170703;-0,0554554;0,630412;-0,650413
0,170803;-0,0544855;0,621375;-0,641378
0,170903;-0,05329;0,609323;-0,629328
0,171003;-0,0518737;0,594313;-0,61432
0,171103;-0,0502424;0,576419;-0,596427
0,171203;-0,0484027;0,555724;-0,575734
0,171303;-0,0463624;0,532327;-0,55234
0,171403;-0,0441304;0,506341;-0,526355
0,171503;-0,0417162;0,47789;-0,497905
0,171603;-0,0391305;0,447109;-0,467126
0,171703;-0,0363847;0,414145;-0,434164
0,171803;-0,0334909;0,379156;-0,399176
0,171903;-0,030462;0,342308;-0,36233
0,172003;-0,0273116;0,303779;-0,323801
0,172103;-0,0240538;0,263751;-0,283775
0,172203;-0,0207035;0,222416;-0,242441
0,172303;-0,0172756;0,179971;-0,199997
0,172403;-0,0137858;0,136619;-0,156646
0,172503;-0,0102499;0,0925669;-0,112594
0,172603;-0,00668407;0,048025;-0,0680529
0,172703;-0,00310456;0,00320615;-0,0232344
0,172803;0,000472267;-0,0416758;0,0216473
0,172903;0,00403002;-0,0864065;0,0663779
0,173003;0,00755239;-0,130772;0,110744
0,173103;0,0110232;-0,174562;0,154533
0,173203;0,0144265;-0,217565;0,197537
0,173303;0,0177467;-0,259577;0,239549
0,173403;0,0209683;-0,300398;0,28037
0,173503;0,0240767;-0,339832;0,319805
0,173603;0,0270575;-0,377691;0,357665
0,173703;0,0298968;-0,413794;0,393769
0,173803;0,0325816;-0,447969;0,427945
0,173903;0,0350995;-0,480053;0,46003
0,174003;0,0374389;-0,509892;0,489871
0,174103;0,0395889;-0,537345;0,517324
0,174203;0,0415395;-0,562279;0,54226
0,174303;0,0432819;-0,584576;0,564559
0,174403;0,0448078;-0,60413;0,584114
0,174503;0,0461102;-0,620846;0,600832
0,174603;0,0471831;-0,634646;0,614634
0,174703;0,0480216;-0,645463;0,625453
0,174803;0,0486216;-0,653246;0,633238
0,174903;0,0489806;-0,657958;0,637951
0,175003;0,0490968;-0,659575;0,63957
0,175103;0,0489696;-0,658091;0,638088
0,175203;0,0485998;-0,653512;0,633511
0,175303;0,0479889;-0,64586;0,625861
0,175403;0,0471398;-0,635172;0,615175
0,175503;0,0460566;-0,621499;0,601504
0,175603;0,0447441;-0,604906;0,584913
0,175703;0,0432085;-0,585472;0,565481
0,175803;0,0414569;-0,56329;0,543301
0,175903;0,0394975;-0,538467;0,518479
0,176003;0,0373393;-0,51112;0,491134
0,176103;0,0349922;-0,48138;0,461396
0,176203;0,0324673;-0,449389;0,429407
0,176303;0,0297761;-0,415301;0,39532
0,176403;0,0269311;-0,379277;0,359297
0,176503;0,0239454;-0,341489;0,321511
0,176603;0,0208329;-0,302119;0,282142
0,176703;0,0176078;-0,261354;0,241378
0,176803;0,0142852;-0,219389;0,199414
0,176903;0,0108802;-0,176424;0,15645
0,177003;0,00740859;-0,132664;0,112691
0,177103;0,0038863;-0,0883184;0,0683462
0,177203;0,000329524;-0,0435989;0,0236273
0,177303;-0,00324543;0,00128101;-0,0212522
0,177403;-0,00682219;0,0461071;-0,0660779
0,177503;-0,0103844;0,0906652;-0,110636
0,177603;-0,0139157;0,134743;-0,154713
0,177703;-0,0174002;0,178129;-0,1981
0,177803;-0,0208218;0,220617;-0,240588
0,177903;-0,0241652;0,262004;-0,281975
0,178003;-0,0274151;0,302092;-0,322064
0,178103;-0,0305569;0,34069;-0,360662
0,178203;-0,0335764;0,377613;-0,397586
0,178303;-0,0364603;0,412685;-0,432659
0,178403;-0,0391955;0,445739;-0,465714
0,178503;-0,0417699;0,476617;-0,496593
0,178603;-0,0441722;0,505172;-0,525149
0,178703;-0,046392;0,531266;-0,551245
0,178803;-0,0484195;0,554776;-0,574756
0,178903;-0,0502461;0,575589;-0,59557
0,179003;-0,051864;0,593606;-0,613589
0,179103;-0,0532665;0,608741;-0,628725
0,179203;-0,054448;0,620921;-0,640907
0,179303;-0,0554039;0,630089;-0,650077
0,179403;-0,0561306;0,6362;-0,65619
0,179503;-0,0566257;0,639226;-0,659217
0,179603;-0,0568878;0,639151;-0,659144
0,179703;-0,0569169;0,635977;-0,655972
0,179803;-0,0567138;0,629718;-0,649715
0,179903;-0,0562806;0,620405;-0,640404
0,180003;-0,0556204;0,608082;-0,628082
0,180103;-0,0547373;0,592807;-0,612809
0,180203;-0,0536368;0,574654;-0,594658
0,180303;-0,0523252;0,553709;-0,573715
0,180403;-0,0508097;0,530072;-0,55008
0,180503;-0,0490987;0,503857;-0,523866
0,180603;-0,0472013;0,475188;-0,495199
0,180703;-0,0451278;0,444202;-0,464215
0,180803;-0,0428891;0,411048;-0,431062
0,180903;-0,0404968;0,375882;-0,395898
0,181003;-0,0379635;0,338875;-0,358892
0,181103;-0,0353023;0,300201;-0,320219
0,181203;-0,0325269;0,260047;-0,280066
0,181303;-0,0296515;0,218602;-0,238623
0,181403;-0,026691;0,176067;-0,196088
0,181503;-0,0236603;0,132642;-0,152664
0,181603;-0,0205749;0,088537;-0,10856
0,181703;-0,0174505;0,0439611;-0,0639844
0,181803;-0,014303;-0,000872362;-0,0191513
0,181903;-0,0111484;-0,0457494;0,0257254
0,182003;-0,00800243;-0,0904558;0,0704316
0,182103;-0,00488118;-0,134778;0,114754
0,182203;-0,00180035;-0,178504;0,15848
0,182303;0,00122449;-0,221426;0,201402
0,182403;0,00417809;-0,263338;0,243315
0,182503;0,00704555;-0,304041;0,284018
0,182603;0,0098124;-0,343339;0,323317
0,182703;0,0124647;-0,381046;0,361024
0,182803;0,014989;-0,416981;0,39696
0,182903;0,0173726;-0,450973;0,430953
0,183003;0,0196035;-0,482859;0,46284
0,183103;0,0216703;-0,512487;0,492469
0,183203;0,0235625;-0,539716;0,519699
0,183303;0,0252706;-0,564415;0,5444
0,183403;0,0267857;-0,586467;0,566453
0,183503;0,0281002;-0,605766;0,585754
0,183603;0,0292072;-0,622221;0,60221
0,183703;0,0301011;-0,635752;0,615743
0,183803;0,0307769;-0,646296;0,626288
0,183903;0,0312313;-0,653801;0,633795
0,184003;0,0314615;-0,658231;0,638227
0,184103;0,0314661;-0,659567;0,639565
