time;V(/VoutN)1;V(/VoutP)1;V(/BiasDrive)1;a
0,00103376;-0,433836;0,413882;0,0304564;
0,00104376;-0,437227;0,417274;0,0306969;
0,00105376;-0,440599;0,420646;0,0309358;
0,00106376;-0,443949;0,423997;0,0311731;
0,00107376;-0,447279;0,427327;0,031409;
0,00108376;-0,450588;0,430637;0,0316433;
0,00109376;-0,453876;0,433925;0,031876;
0,00110376;-0,457143;0,437192;0,0321072;
0,00111376;-0,460389;0,440438;0,0323368;
0,00112376;-0,463613;0,443662;0,0325648;
0,00113376;-0,466815;0,446865;0,0327912;
0,00114376;-0,469996;0,450046;0,033016;
0,00115376;-0,473154;0,453205;0,0332391;
0,00116376;-0,47629;0,456342;0,0334606;
0,00117376;-0,479404;0,459456;0,0336805;
0,00118376;-0,482496;0,462548;0,0338987;
0,00119376;-0,485565;0,465618;0,0341153;
0,00120376;-0,488612;0,468664;0,0343301;
0,00121376;-0,491635;0,471688;0,0345433;
0,00122376;-0,494636;0,474689;0,0347547;
0,00123376;-0,497613;0,477667;0,0349645;
0,00124376;-0,500567;0,480621;0,0351725;
0,00125376;-0,503498;0,483552;0,0353788;
0,00126376;-0,506405;0,48646;0,0355834;
0,00127376;-0,509288;0,489344;0,0357862;
0,00128376;-0,512148;0,492203;0,0359872;
0,00129376;-0,514983;0,495039;0,0361865;
0,00130376;-0,517795;0,497851;0,036384;
0,00131376;-0,520582;0,500638;0,0365797;
0,00132376;-0,523345;0,503402;0,0367736;
0,00133376;-0,526083;0,50614;0,0369656;
0,00134376;-0,528797;0,508854;0,0371559;
0,00135376;-0,531485;0,511543;0,0373443;
0,00136376;-0,534149;0,514207;0,0375309;
0,00137376;-0,536788;0,516846;0,0377156;
0,00138376;-0,539402;0,51946;0,0378985;
0,00139376;-0,54199;0,522049;0,0380795;
0,00140376;-0,544553;0,524612;0,0382586;
0,00141376;-0,547091;0,52715;0,0384359;
0,00142376;-0,549602;0,529662;0,0386112;
0,00143376;-0,552089;0,532149;0,0387847;
0,00144376;-0,554549;0,534609;0,0389562;
0,00145376;-0,556983;0,537043;0,0391258;
0,00146376;-0,559391;0,539452;0,0392935;
0,00147376;-0,561773;0,541834;0,0394592;
0,00148376;-0,564128;0,544189;0,039623;
0,00149376;-0,566457;0,546519;0,0397849;
0,00150376;-0,568759;0,548821;0,0399448;
0,00151376;-0,571035;0,551097;0,0401027;
0,00152376;-0,573284;0,553346;0,0402586;
0,00153376;-0,575506;0,555568;0,0404126;
0,00154376;-0,577701;0,557764;0,0405645;
0,00155376;-0,579868;0,559932;0,0407145;
0,00156376;-0,582009;0,562072;0,0408624;
0,00157376;-0,584122;0,564186;0,0410083;
0,00158376;-0,586208;0,566272;0,0411522;
0,00159376;-0,588266;0,568331;0,0412941;
0,00160376;-0,590297;0,570362;0,0414339;
0,00161376;-0,5923;0,572365;0,0415717;
0,00162376;-0,594275;0,57434;0,0417074;
0,00163376;-0,596223;0,576288;0,0418411;
0,00164376;-0,598142;0,578207;0,0419727;
0,00165376;-0,600033;0,580098;0,0421023;
0,00166376;-0,601896;0,581962;0,0422297;
0,00167376;-0,603731;0,583796;0,0423551;
0,00168376;-0,605537;0,585603;0,0424784;
0,00169376;-0,607315;0,587381;0,0425995;
0,00170376;-0,609064;0,589131;0,0427186;
0,00171376;-0,610785;0,590852;0,0428356;
0,00172376;-0,612477;0,592544;0,0429504;
0,00173376;-0,61414;0,594207;0,0430632;
0,00174376;-0,615775;0,595842;0,0431738;
0,00175376;-0,61738;0,597447;0,0432822;
0,00176376;-0,618956;0,599024;0,0433886;
0,00177376;-0,620504;0,600572;0,0434928;
0,00178376;-0,622022;0,60209;0,0435948;
0,00179376;-0,623511;0,603579;0,0436947;
0,00180376;-0,624971;0,605039;0,0437924;
0,00181376;-0,626401;0,606469;0,0438879;
0,00182376;-0,627802;0,60787;0,0439813;
0,00183376;-0,629173;0,609242;0,0440725;
0,00184376;-0,630515;0,610584;0,0441616;
0,00185376;-0,631827;0,611896;0,0442484;
0,00186376;-0,633109;0,613178;0,0443331;
0,00187376;-0,634362;0,614431;0,0444155;
0,00188376;-0,635585;0,615654;0,0444958;
0,00189376;-0,636778;0,616847;0,0445739;
0,00190376;-0,637941;0,61801;0,0446497;
0,00191376;-0,639074;0,619143;0,0447234;
0,00192376;-0,640177;0,620246;0,0447948;
0,00193376;-0,641249;0,621319;0,0448641;
0,00194376;-0,642292;0,622362;0,0449311;
0,00195376;-0,643305;0,623375;0,0449958;
0,00196376;-0,644287;0,624357;0,0450584;
0,00197376;-0,645239;0,625309;0,0451187;
0,00198376;-0,64616;0,626231;0,0451768;
0,00199376;-0,647051;0,627122;0,0452326;
0,00200376;-0,647912;0,627983;0,0452862;
0,00201376;-0,648743;0,628813;0,0453376;
0,00202376;-0,649542;0,629613;0,0453867;
0,00203376;-0,650312;0,630383;0,0454336;
0,00204376;-0,65105;0,631121;0,0454782;
0,00205376;-0,651758;0,631829;0,0455205;
0,00206376;-0,652436;0,632507;0,0455607;
0,00207376;-0,653082;0,633154;0,0455985;
0,00208376;-0,653698;0,63377;0,0456341;
0,00209376;-0,654283;0,634355;0,0456674;
0,00210376;-0,654838;0,634909;0,0456985;
0,00211376;-0,655361;0,635433;0,0457273;
0,00212376;-0,655854;0,635926;0,0457538;
0,00213376;-0,656316;0,636388;0,045778;
0,00214376;-0,656747;0,636819;0,0458;
0,00215376;-0,657147;0,637219;0,0458197;
0,00216376;-0,657517;0,637589;0,0458372;
0,00217376;-0,657855;0,637927;0,0458523;
0,00218376;-0,658162;0,638235;0,0458652;
0,00219376;-0,658439;0,638511;0,0458758;
0,00220376;-0,658684;0,638756;0,0458842;
0,00221376;-0,658899;0,638971;0,0458902;
0,00222376;-0,659082;0,639154;0,045894;
0,00223376;-0,659235;0,639307;0,0458955;
0,00224376;-0,659356;0,639428;0,0458947;
0,00225376;-0,659446;0,639519;0,0458916;
0,00226376;-0,659506;0,639578;0,0458863;
0,00227376;-0,659534;0,639607;0,0458787;
0,00228376;-0,659532;0,639604;0,0458687;
0,00229376;-0,659498;0,63957;0,0458566;
0,00230376;-0,659433;0,639506;0,0458421;
0,00231376;-0,659337;0,63941;0,0458253;
0,00232376;-0,659211;0,639283;0,0458063;
0,00233376;-0,659053;0,639125;0,045785;
0,00234376;-0,658864;0,638937;0,0457614;
0,00235376;-0,658644;0,638717;0,0457356;
0,00236376;-0,658394;0,638466;0,0457074;
0,00237376;-0,658112;0,638184;0,045677;
0,00238376;-0,657799;0,637872;0,0456443;
0,00239376;-0,657456;0,637528;0,0456094;
0,00240376;-0,657081;0,637154;0,0455721;
0,00241376;-0,656675;0,636748;0,0455326;
0,00242376;-0,656239;0,636312;0,0454909;
0,00243376;-0,655772;0,635845;0,0454468;
0,00244376;-0,655274;0,635346;0,0454005;
0,00245376;-0,654745;0,634817;0,045352;
0,00246376;-0,654185;0,634258;0,0453011;
0,00247376;-0,653595;0,633667;0,0452481;
0,00248376;-0,652973;0,633046;0,0451927;
0,00249376;-0,652322;0,632394;0,0451351;
0,00250376;-0,651639;0,631711;0,0450753;
0,00251376;-0,650926;0,630998;0,0450132;
0,00252376;-0,650182;0,630254;0,0449488;
0,00253376;-0,649407;0,62948;0,0448823;
0,00254376;-0,648602;0,628675;0,0448134;
0,00255376;-0,647767;0,627839;0,0447424;
0,00256376;-0,646901;0,626973;0,0446691;
0,00257376;-0,646004;0,626077;0,0445935;
0,00258376;-0,645078;0,62515;0,0445158;
0,00259376;-0,64412;0,624193;0,0444358;
0,00260376;-0,643133;0,623205;0,0443536;
0,00261376;-0,642115;0,622187;0,0442692;
0,00262376;-0,641068;0,621139;0,0441825;
0,00263376;-0,63999;0,620061;0,0440937;
0,00264376;-0,638881;0,618953;0,0440026;
0,00265376;-0,637743;0,617815;0,0439094;
0,00266376;-0,636575;0,616647;0,0438139;
0,00267376;-0,635377;0,615449;0,0437163;
0,00268376;-0,634149;0,614221;0,0436164;
0,00269376;-0,632891;0,612963;0,0435144;
0,00270376;-0,631604;0,611675;0,0434102;
0,00271376;-0,630287;0,610358;0,0433038;
0,00272376;-0,62894;0,609011;0,0431953;
0,00273376;-0,627563;0,607635;0,0430846;
0,00274376;-0,626158;0,606229;0,0429717;
0,00275376;-0,624722;0,604793;0,0428567;
0,00276376;-0,623258;0,603328;0,0427395;
0,00277376;-0,621764;0,601834;0,0426202;
0,00278376;-0,62024;0,600311;0,0424987;
0,00279376;-0,618688;0,598759;0,0423751;
0,00280376;-0,617107;0,597177;0,0422494;
0,00281376;-0,615496;0,595567;0,0421215;
0,00282376;-0,613857;0,593927;0,0419916;
0,00283376;-0,612189;0,592259;0,0418595;
0,00284376;-0,610492;0,590562;0,0417253;
0,00285376;-0,608766;0,588836;0,041589;
0,00286376;-0,607012;0,587082;0,0414507;
0,00287376;-0,605229;0,585299;0,0413102;
0,00288376;-0,603418;0,583487;0,0411677;
0,00289376;-0,601578;0,581648;0,041023;
0,00290376;-0,59971;0,57978;0,0408764;
0,00291376;-0,597814;0,577884;0,0407276;
0,00292376;-0,59589;0,575959;0,0405768;
0,00293376;-0,593938;0,574007;0,040424;
0,00294376;-0,591958;0,572027;0,0402691;
0,00295376;-0,58995;0,570019;0,0401122;
0,00296376;-0,587915;0,567984;0,0399533;
0,00297376;-0,585852;0,56592;0,0397923;
0,00298376;-0,583761;0,56383;0,0396294;
0,00299376;-0,581643;0,561712;0,0394644;
0,00300376;-0,579498;0,559566;0,0392974;
0,00301376;-0,577325;0,557393;0,0391285;
0,00302376;-0,575126;0,555194;0,0389576;
0,00303376;-0,572899;0,552967;0,0387847;
0,00304376;-0,570646;0,550713;0,0386098;
0,00305376;-0,568365;0,548433;0,038433;
0,00306376;-0,566058;0,546126;0,0382542;
0,00307376;-0,563725;0,543792;0,0380735;
0,00308376;-0,561365;0,541432;0,0378909;
0,00309376;-0,558979;0,539046;0,0377064;
0,00310376;-0,556566;0,536633;0,0375199;
0,00311376;-0,554128;0,534194;0,0373315;
0,00312376;-0,551663;0,531729;0,0371413;
0,00313376;-0,549172;0,529239;0,0369491;
0,00314376;-0,546656;0,526722;0,0367551;
0,00315376;-0,544114;0,52418;0,0365592;
0,00316376;-0,541547;0,521613;0,0363614;
0,00317376;-0,538954;0,51902;0,0361618;
0,00318376;-0,536336;0,516402;0,0359604;
0,00319376;-0,533693;0,513758;0,0357571;
0,00320376;-0,531025;0,51109;0,035552;
0,00321376;-0,528331;0,508396;0,0353451;
0,00322376;-0,525614;0,505678;0,0351363;
0,00323376;-0,522871;0,502936;0,0349258;
0,00324376;-0,520104;0,500169;0,0347135;
0,00325376;-0,517313;0,497377;0,0344994;
0,00326376;-0,514497;0,494561;0,0342836;
0,00327376;-0,511657;0,491721;0,034066;
0,00328376;-0,508794;0,488857;0,0338467;
0,00329376;-0,505906;0,48597;0,0336256;
0,00330376;-0,502995;0,483058;0,0334028;
0,00331376;-0,50006;0,480123;0,0331783;
0,00332376;-0,497102;0,477165;0,0329521;
0,00333376;-0,494121;0,474183;0,0327242;
0,00334376;-0,491116;0,471179;0,0324947;
