time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0;-0,499951;-0,00997498;-0,00997498;
1e-06;-0,499935;-0,0100538;-0,00990838;
2e-06;-0,499919;-0,0101878;-0,00977514;
4e-06;-0,4999;-0,0105519;-0,00940033;
8e-06;-0,49996;-0,0117184;-0,00820525;
1,6e-05;-0,500386;-0,0148681;-0,0050231;
2,68121e-05;-0,501404;-0,0196417;-0,000216782;
3,93731e-05;-0,502962;-0,0252738;0,00543051;
6,28535e-05;-0,506337;-0,0358014;0,0159747;
0,000109814;-0,513614;-0,0568492;0,0370249;
0,000203736;-0,528368;-0,0987743;0,0789532;
0,000303736;-0,544032;-0,143001;0,123179;
0,000403736;-0,559663;-0,186589;0,16677;
0,000503736;-0,575234;-0,229336;0,209517;
0,000603736;-0,590734;-0,271033;0,251217;
0,000703736;-0,606147;-0,311486;0,291668;
0,000803736;-0,621455;-0,350496;0,330681;
0,000903736;-0,636648;-0,387883;0,368066;
0,00100374;-0,651706;-0,423462;0,403648;
0,00110374;-0,666618;-0,457069;0,437253;
0,00120374;-0,681365;-0,488539;0,468725;
0,00130374;-0,695937;-0,517725;0,497909;
0,00140374;-0,710314;-0,544484;0,52467;
0,00150374;-0,724488;-0,568694;0,548877;
0,00160374;-0,738439;-0,590232;0,570418;
0,00170374;-0,752158;-0,609002;0,589185;
0,00180374;-0,765626;-0,62491;0,605094;
0,00190374;-0,778836;-0,637883;0,618064;
0,00200374;-0,791769;-0,647855;0,628037;
0,00210374;-0,804416;-0,654783;0,634962;
0,00220374;-0,816761;-0,65863;0,63881;
0,00230374;-0,828796;-0,659381;0,639558;
0,00240374;-0,840504;-0,65703;0,637207;
0,00250374;-0,851878;-0,65159;0,631764;
0,00260374;-0,862902;-0,643084;0,623258;
0,00270374;-0,87357;-0,631557;0,611728;
0,00280374;-0,883866;-0,61706;0,59723;
0,00290374;-0,893784;-0,599666;0,579832;
0,00300374;-0,903311;-0,579454;0,559619;
0,00310374;-0,91244;-0,556524;0,536686;
0,00320374;-0,92116;-0,530983;0,511143;
0,00330374;-0,929464;-0,502955;0,483111;
0,00340374;-0,937341;-0,472571;0,452727;
0,00350374;-0,944786;-0,43998;0,420131;
0,00360374;-0,951789;-0,405334;0,385484;
0,00370374;-0,958346;-0,368801;0,348947;
0,00380374;-0,964447;-0,330553;0,310697;
0,00390374;-0,970089;-0,290776;0,270916;
0,00400374;-0,975263;-0,249656;0,229794;
0,00410374;-0,979968;-0,207393;0,187527;
0,00420374;-0,984195;-0,164186;0,144317;
0,00430374;-0,987943;-0,120244;0,10037;
0,00440374;-0,991206;-0,075774;0,0558978;
0,00450374;-0,993984;-0,0309906;0,0111097;
0,00460374;-0,99627;0,0138943;-0,0337778;
0,00470374;-0,998065;0,0586644;-0,0785526;
0,00480374;-0,999365;0,103108;-0,122999;
0,00490374;-1,00017;0,14701;-0,166906;
0,00500374;-1,00048;0,190164;-0,210063;
0,00510374;-1,00029;0,232362;-0,252266;
0,00520374;-0,999611;0,273403;-0,29331;
0,00530374;-0,998434;0,313091;-0,333003;
0,00540374;-0,996761;0,351236;-0,371152;
0,00550374;-0,994598;0,387657;-0,407577;
0,00560374;-0,991943;0,422179;-0,442102;
0,00570374;-0,988802;0,454637;-0,474565;
0,00580374;-0,985176;0,484877;-0,504809;
0,00590374;-0,981071;0,512754;-0,532691;
0,00600374;-0,976488;0,538136;-0,558076;
0,00610374;-0,971435;0,560899;-0,580845;
0,00620374;-0,965914;0,580938;-0,600887;
0,00630374;-0,959934;0,598154;-0,618107;
0,00640374;-0,953497;0,612467;-0,632424;
0,00650374;-0,946614;0,623807;-0,643769;
0,00660374;-0,939287;0,632121;-0,652087;
0,00670374;-0,931529;0,637369;-0,65734;
0,00680374;-0,923342;0,639526;-0,659501;
0,00690374;-0,91474;0,638582;-0,658561;
0,00700374;-0,905726;0,634541;-0,654523;
0,00710374;-0,896314;0,627422;-0,647409;
0,00720374;-0,88651;0,617259;-0,63725;
0,00730374;-0,876326;0,604101;-0,624096;
0,00740374;-0,86577;0,588011;-0,60801;
0,00750374;-0,854855;0,569066;-0,589069;
0,00760374;-0,84359;0,547356;-0,567362;
0,00770374;-0,831989;0,522984;-0,542994;
0,00780374;-0,820059;0,496067;-0,516081;
0,00790374;-0,807816;0,466734;-0,486752;
0,00800374;-0,79527;0,435124;-0,455146;
0,00810374;-0,782436;0,401389;-0,421414;
0,00820374;-0,769323;0,365689;-0,385718;
0,00830374;-0,755947;0,328196;-0,348228;
0,00840374;-0,74232;0,289088;-0,309123;
0,00850374;-0,728457;0,248551;-0,268589;
0,00860374;-0,714369;0,20678;-0,226821;
0,00870374;-0,700073;0,163973;-0,184018;
0,00880374;-0,68558;0,120336;-0,140384;
0,00890374;-0,670908;0,0760767;-0,0961271;
0,00900374;-0,656069;0,031406;-0,0514592;
0,00910374;-0,641078;-0,0134624;-0,00659341;
0,00920374;-0,62595;-0,0583144;0,038256;
0,00930374;-0,610701;-0,102936;0,082875;
0,00940374;-0,595344;-0,147113;0,12705;
0,00950374;-0,579896;-0,190636;0,170571;
0,00960374;-0,56437;-0,233297;0,21323;
0,00970374;-0,548784;-0,274892;0,254822;
0,00980374;-0,533151;-0,315221;0,29515;
0,00990374;-0,517488;-0,354094;0,334021;
0,0100037;-0,501809;-0,391323;0,371249;
0,0101037;-0,486131;-0,426732;0,406656;
0,0102037;-0,470468;-0,460151;0,440074;
0,0103037;-0,454836;-0,491421;0,471342;
0,0104037;-0,43925;-0,520392;0,500312;
0,0105037;-0,423725;-0,546926;0,526845;
0,0106037;-0,408277;-0,570896;0,550814;
0,0107037;-0,392921;-0,592189;0,572106;
0,0108037;-0,377671;-0,610701;0,590618;
0,0109037;-0,362543;-0,626345;0,606262;
0,0110037;-0,347551;-0,639047;0,618962;
0,0111037;-0,33271;-0,648744;0,62866;
0,0112037;-0,318035;-0,655392;0,635308;
0,0113037;-0,30354;-0,658958;0,638874;
0,0114037;-0,289238;-0,659426;0,639342;
0,0115037;-0,275145;-0,656793;0,636709;
0,0116037;-0,261272;-0,651071;0,630988;
0,0117037;-0,247636;-0,642289;0,622206;
0,0118037;-0,234248;-0,630487;0,610405;
0,0119037;-0,221121;-0,615723;0,595642;
0,0120037;-0,208269;-0,598067;0,577986;
0,0121037;-0,195703;-0,577602;0,557523;
0,0122037;-0,183437;-0,554428;0,53435;
0,0123037;-0,171482;-0,528654;0,508577;
0,0124037;-0,159849;-0,500404;0,480328;
0,0125037;-0,148551;-0,469812;0,449738;
0,0126037;-0,137597;-0,437024;0,416952;
0,0127037;-0,127;-0,402198;0,382128;
0,0128037;-0,116769;-0,365499;0,34543;
0,0129037;-0,106914;-0,327102;0,307036;
0,0130037;-0,0974447;-0,287192;0,267128;
0,0131037;-0,0883709;-0,245958;0,225896;
0,0132037;-0,0797006;-0,203598;0,183538;
0,0133037;-0,0714432;-0,160313;0,140256;
0,0134037;-0,063606;-0,11631;0,0962556;
0,0135037;-0,0561975;-0,0717999;0,0517485;
0,0136037;-0,0492242;-0,0269951;0,00694593;
0,0137037;-0,0426938;0,0178914;-0,0379371;
0,0138037;-0,0366118;0,062644;-0,0826873;
0,0139037;-0,0309852;0,10705;-0,12709;
0,0140037;-0,0258187;0,150897;-0,170934;
0,0141037;-0,0211181;0,193976;-0,214009;
0,0142037;-0,0168876;0,236081;-0,256111;
0,0143037;-0,0131318;0,277011;-0,297037;
0,0144037;-0,00985414;0,316569;-0,336593;
0,0145037;-0,0070583;0,354569;-0,374589;
0,0146037;-0,00474671;0,390828;-0,410844;
0,0147037;-0,00292216;0,425173;-0,445185;
0,0148037;-0,00158617;0,45744;-0,477449;
0,0149037;-0,000740523;0,487475;-0,50748;
0,0150037;-0,000385842;0,515135;-0,535136;
0,0151037;-0,000522916;0,540287;-0,560284;
0,0152037;-0,00115146;0,562811;-0,582805;
0,0153037;-0,00227125;0,582601;-0,60259;
0,0154037;-0,00388109;0,599561;-0,619546;
0,0155037;-0,00597976;0,61361;-0,63359;
0,0156037;-0,00856514;0,624681;-0,644658;
0,0157037;-0,011635;0,632723;-0,652695;
0,0158037;-0,0151864;0,637694;-0,657663;
0,0159037;-0,019216;0,639574;-0,659538;
0,0160037;-0,02372;0,638352;-0,658312;
0,0161037;-0,0286941;0,634034;-0,653989;
0,0162037;-0,0341335;0,626641;-0,646592;
0,0163037;-0,0400331;0,616208;-0,636155;
0,0164037;-0,0463872;0,602785;-0,622728;
0,0165037;-0,0531896;0,586436;-0,606375;
0,0166037;-0,0604339;0,567239;-0,587174;
0,0167037;-0,068113;0,545287;-0,565217;
0,0168037;-0,0762195;0,520682;-0,540609;
0,0169037;-0,0847454;0,493545;-0,513466;
0,0170037;-0,0936827;0,464002;-0,48392;
0,0171037;-0,103022;0,432197;-0,45211;
0,0172037;-0,112756;0,39828;-0,41819;
0,0173037;-0,122873;0,362414;-0,382319;
0,0174037;-0,133364;0,32477;-0,344672;
0,0175037;-0,144219;0,285528;-0,305425;
0,0176037;-0,155427;0,244874;-0,264768;
0,0177037;-0,166977;0,203004;-0,222894;
0,0178037;-0,178858;0,160117;-0,180003;
0,0179037;-0,191058;0,116418;-0,1363;
0,0180037;-0,203566;0,0721153;-0,0919944;
0,0181037;-0,216368;0,0274213;-0,0472962;
0,0182037;-0,229452;-0,0174517;-0,0024203;
0,0183037;-0,242806;-0,0622883;0,0424203;
0,0184037;-0,256416;-0,106876;0,0870103;
0,0185037;-0,270268;-0,150999;0,131138;
0,0186037;-0,28435;-0,19445;0,174591;
0,0187037;-0,298646;-0,237019;0,217164;
0,0188037;-0,313144;-0,278505;0,258652;
0,0189037;-0,327828;-0,318707;0,298858;
0,0190037;-0,342684;-0,357436;0,337589;
0,0191037;-0,357697;-0,394505;0,374661;
0,0192037;-0,372852;-0,429738;0,409896;
0,0193037;-0,388135;-0,462965;0,443127;
0,0194037;-0,40353;-0,494031;0,474194;
0,0195037;-0,419021;-0,522784;0,50295;
0,0196037;-0,434594;-0,549089;0,529256;
0,0197037;-0,450232;-0,572818;0,552988;
0,0198037;-0,465921;-0,593861;0,574032;
0,0199037;-0,481644;-0,612114;0,592288;
0,0200037;-0,497387;-0,627493;0,607668;
0,0201037;-0,513133;-0,639922;0,6201;
0,0202037;-0,528866;-0,649344;0,629522;
0,0203037;-0,544571;-0,655712;0,635892;
0,0204037;-0,560233;-0,658997;0,639177;
0,0205037;-0,575835;-0,659182;0,639364;
0,0206037;-0,591362;-0,656267;0,636449;
0,0207037;-0,606799;-0,650265;0,630449;
0,0208037;-0,62213;-0,641207;0,62139;
0,0209037;-0,637339;-0,629133;0,609318;
0,0210037;-0,652413;-0,614103;0,594288;
0,0211037;-0,667335;-0,596188;0,576374;
0,0212037;-0,682091;-0,575474;0,555659;
0,0213037;-0,696666;-0,552059;0,532244;
0,0214037;-0,711046;-0,526056;0,50624;
0,0215037;-0,725216;-0,497587;0,477772;
0,0216037;-0,739162;-0,466791;0,446975;
0,0217037;-0,75287;-0,433812;0,413996;
0,0218037;-0,766328;-0,39881;0,378993;
0,0219037;-0,77952;-0,361951;0,342133;
0,0220037;-0,792434;-0,323411;0,303591;
0,0221037;-0,805058;-0,283373;0,263553;
0,0222037;-0,817379;-0,242031;0,222209;
0,0223037;-0,829383;-0,199579;0,179757;
0,0224037;-0,841061;-0,156223;0,136398;
0,0225037;-0,8524;-0,112167;0,0923418;
0,0226037;-0,863389;-0,067624;0,0477963;
0,0227037;-0,874016;-0,0228048;0,00297567;
0,0228037;-0,884272;0,0220755;-0,041907;
0,0229037;-0,894146;0,0668034;-0,0866366;
0,0230037;-0,90363;0,111164;-0,131;
0,0231037;-0,912712;0,154948;-0,174785;
0,0232037;-0,921385;0,197943;-0,217784;
0,0233037;-0,929639;0,239947;-0,259789;
0,0234037;-0,937468;0,280756;-0,300602;
0,0235037;-0,944862;0,320179;-0,340027;
0,0236037;-0,951816;0,358024;-0,377875;
0,0237037;-0,958321;0,394113;-0,413967;
0,0238037;-0,964372;0,428272;-0,448129;
0,0239037;-0,969963;0,460339;-0,480199;
0,0240037;-0,975089;0,49016;-0,510024;
0,0241037;-0,979744;0,517594;-0,53746;
0,0242037;-0,983925;0,542508;-0,562378;
0,0243037;-0,987626;0,564785;-0,584658;
0,0244037;-0,990845;0,584317;-0,604194;
0,0245037;-0,993579;0,601011;-0,620892;
0,0246037;-0,995824;0,614788;-0,634673;
0,0247037;-0,99758;0,625582;-0,64547;
0,0248037;-0,998844;0,633342;-0,653234;
0,0249037;-0,999615;0,63803;-0,657925;
0,0250037;-0,999894;0,639623;-0,659523;
0,0251037;-0,999678;0,638115;-0,658018;
0,0252037;-0,99897;0,633512;-0,65342;
0,0253037;-0,997769;0,625837;-0,645749;
0,0254037;-0,996078;0,615126;-0,635042;
0,0255037;-0,993897;0,60143;-0,62135;
0,0256037;-0,99123;0,584814;-0,604739;
0,0257037;-0,988079;0,565359;-0,585287;
0,0258037;-0,984448;0,543156;-0,563089;
0,0259037;-0,980339;0,518313;-0,538249;
0,0260037;-0,975758;0,490946;-0,510887;
0,0261037;-0,970708;0,461188;-0,481133;
0,0262037;-0,965196;0,42918;-0,44913;
0,0263037;-0,959226;0,395076;-0,415029;
0,0264037;-0,952805;0,359036;-0,378994;
0,0265037;-0,945939;0,321235;-0,341197;
0,0266037;-0,938635;0,281853;-0,301819;
0,0267037;-0,930899;0,241077;-0,261047;
0,0268037;-0,922741;0,199102;-0,219076;
0,0269037;-0,914168;0,156129;-0,176107;
0,0270037;-0,905188;0,112362;-0,132345;
0,0271037;-0,895811;0,0680113;-0,0879978;
0,0272037;-0,886045;0,0232881;-0,0432788;
0,0273037;-0,875901;-0,0215939;0,00159939;
0,0274037;-0,865388;-0,0664207;0,046422;
0,0275037;-0,854516;-0,110978;0,0909755;
0,0276037;-0,843297;-0,155053;0,135047;
0,0277037;-0,831742;-0,198435;0,178425;
0,0278037;-0,819861;-0,240918;0,220904;
0,0279037;-0,807667;-0,282298;0,262281;
0,0280037;-0,795171;-0,322378;0,302357;
0,0281037;-0,782386;-0,360966;0,340941;
0,0282037;-0,769325;-0,397878;0,37785;
0,0283037;-0,755999;-0,432939;0,412907;
0,0284037;-0,742423;-0,46598;0,445945;
0,0285037;-0,728608;-0,496843;0,476805;
0,0286037;-0,71457;-0,525382;0,505341;
0,0287037;-0,700322;-0,55146;0,531416;
0,0288037;-0,685877;-0,574953;0,554905;
0,0289037;-0,67125;-0,595748;0,575698;
0,0290037;-0,656454;-0,613746;0,593693;
0,0291037;-0,641505;-0,628861;0,608806;
0,0292037;-0,626418;-0,641022;0,620964;
0,0293037;-0,611206;-0,650169;0,630109;
0,0294037;-0,595884;-0,65626;0,636197;
0,0295037;-0,580468;-0,659265;0,6392;
0,0296037;-0,564973;-0,659169;0,639102;
0,0297037;-0,549414;-0,655974;0,635905;
0,0298037;-0,533806;-0,649695;0,629624;
0,0299037;-0,518163;-0,640361;0,620288;
0,0300037;-0,502503;-0,628018;0,607943;
0,0301037;-0,486839;-0,612723;0,592647;
0,0302037;-0,471187;-0,594551;0,574473;
0,0303037;-0,455562;-0,573587;0,553509;
0,0304037;-0,43998;-0,549933;0,529853;
0,0305037;-0,424456;-0,5237;0,503619;
0,0306037;-0,409006;-0,495015;0,474933;
0,0307037;-0,393643;-0,464014;0,443931;
0,0308037;-0,378383;-0,430845;0,410762;
0,0309037;-0,363242;-0,395667;0,375583;
0,0310037;-0,348234;-0,358647;0,338563;
0,0311037;-0,333373;-0,319962;0,299878;
0,0312037;-0,318675;-0,279798;0,259714;
0,0313037;-0,304154;-0,238346;0,218261;
0,0314037;-0,289824;-0,195803;0,175719;
0,0315037;-0,275698;-0,152373;0,132289;
0,0316037;-0,261792;-0,108264;0,0881802;
0,0317037;-0,248118;-0,0636854;0,0436022;
0,0318037;-0,234691;-0,0188506;-0,00123183;
0,0319037;-0,221523;0,0260262;-0,0461079;
0,0320037;-0,208628;0,0707309;-0,0908116;
0,0321037;-0,196017;0,11505;-0,13513;
0,0322037;-0,183705;0,158772;-0,17885;
0,0323037;-0,171702;0,201688;-0,221765;
0,0324037;-0,160021;0,243593;-0,263668;
0,0325037;-0,148673;0,284286;-0,304361;
0,0326037;-0,137669;0,323575;-0,343647;
0,0327037;-0,127022;0,361271;-0,381341;
0,0328037;-0,11674;0,397193;-0,417262;
0,0329037;-0,106834;0,431172;-0,451238;
0,0330037;-0,0973153;0,463043;-0,483108;
0,0331037;-0,0881918;0,492656;-0,512718;
0,0332037;-0,0794732;0,519868;-0,539928;
0,0333037;-0,0711681;0,54455;-0,564608;
0,0334037;-0,063285;0,566585;-0,586639;
0,0335037;-0,0558316;0,585866;-0,605918;
0,0336037;-0,0488157;0,602301;-0,62235;
0,0337037;-0,0422441;0,615813;-0,635859;
0,0338037;-0,0361237;0,626336;-0,64638;
0,0339037;-0,0304603;0,633821;-0,653862;
0,0340037;-0,0252601;0,638232;-0,658269;
0,0341037;-0,0205281;0,639547;-0,659581;
0,0342037;-0,0162693;0,637761;-0,657791;
0,0343037;-0,0124878;0,632881;-0,652908;
0,0344037;-0,0091879;0,624932;-0,644956;
0,0345037;-0,00637266;0,613951;-0,633971;
0,0346037;-0,00404526;0,599991;-0,620007;
0,0347037;-0,00220794;0,583118;-0,60313;
0,0348037;-0,000862881;0,563413;-0,583421;
0,0349037;-1,13455e-05;0,540969;-0,560974;
0,0350037;0,00034548;0,515895;-0,535896;
0,0351037;0,000207306;0,48831;-0,508307;
0,0352037;-0,000426055;0,458345;-0,478338;
0,0353037;-0,00155391;0,426145;-0,446133;
0,0354037;-0,00317544;0,391861;-0,411846;
0,0355037;-0,00528899;0,355659;-0,37564;
0,0356037;-0,00789272;0,317711;-0,337687;
0,0357037;-0,010984;0,278198;-0,29817;
0,0358037;-0,01456;0,237309;-0,257277;
0,0359037;-0,0186171;0,195239;-0,215203;
0,0360037;-0,0231516;0,152189;-0,172149;
0,0361037;-0,0281588;0,108365;-0,12832;
0,0362037;-0,033634;0,0639757;-0,0839268;
0,0363037;-0,0395716;0,0192333;-0,0391802;
0,0364037;-0,045966;-0,0256484;0,00570584;
0,0365037;-0,0528108;-0,0704554;0,050517;
0,0366037;-0,0600992;-0,114973;0,0950394;
0,0367037;-0,0678239;-0,15899;0,13906;
0,0368037;-0,0759775;-0,202295;0,18237;
0,0369037;-0,0845517;-0,244682;0,22476;
0,0370037;-0,0935381;-0,285948;0,266031;
0,0371037;-0,102928;-0,325896;0,305983;
0,0372037;-0,112711;-0,364336;0,344427;
0,0373037;-0,122879;-0,401083;0,381178;
0,0374037;-0,13342;-0,435963;0,416062;
0,0375037;-0,144326;-0,468809;0,448911;
0,0376037;-0,155583;-0,499463;0,47957;
