time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0,0121033;-0,0425525;-0,577677;0,557655;
0,0122033;-0,039283;-0,554515;0,534494;
0,0123033;-0,0362537;-0,528753;0,508734;
0,0124033;-0,0334619;-0,500514;0,480496;
0,0125033;-0,0309059;-0,469933;0,449917;
0,0126033;-0,0285815;-0,437156;0,417141;
0,0127033;-0,0264857;-0,402338;0,382325;
0,0128033;-0,0246133;-0,365648;0,345636;
0,0129033;-0,0229599;-0,327259;0,30725;
0,0130033;-0,0215192;-0,287356;0,267347;
0,0131033;-0,0202859;-0,246128;0,226121;
0,0132033;-0,0192528;-0,203773;0,183767;
0,0133033;-0,0184136;-0,160492;0,140489;
0,0134033;-0,0177605;-0,116494;0,0964907;
0,0135033;-0,0172864;-0,0719859;0,0519848;
0,0136033;-0,0169829;-0,0271827;0,00718234;
0,0137033;-0,0168425;0,0177031;-0,0377016;
0,0138033;-0,0168565;0,062456;-0,0824539;
0,0139033;-0,0170169;0,106863;-0,12686;
0,0140033;-0,0173149;0,150712;-0,170708;
0,0141033;-0,0177425;0,193794;-0,213788;
0,0142033;-0,0182908;0,235903;-0,255896;
0,0143033;-0,0189519;0,276837;-0,296829;
0,0144033;-0,019717;0,316402;-0,336394;
0,0145033;-0,0205785;0,354408;-0,374399;
0,0146033;-0,0215282;0,390674;-0,410664;
0,0147033;-0,0225586;0,425027;-0,445016;
0,0148033;-0,0236621;0,457303;-0,477292;
0,0149033;-0,024832;0,487347;-0,507335;
0,0150033;-0,0260613;0,515017;-0,535004;
0,0151033;-0,0273439;0,540179;-0,560166;
0,0152033;-0,0286737;0,562715;-0,582701;
0,0153033;-0,0300455;0,582516;-0,602501;
0,0154033;-0,0314541;0,599487;-0,619473;
0,0155033;-0,0328952;0,613548;-0,633533;
0,0156033;-0,0343647;0,624632;-0,644617;
0,0157033;-0,0358592;0,632686;-0,65267;
0,0158033;-0,0373759;0,63767;-0,657655;
0,0159033;-0,0389123;0,639563;-0,659546;
0,0160033;-0,0404668;0,638353;-0,658337;
0,0161033;-0,042038;0,634048;-0,654031;
0,0162033;-0,0436254;0,626667;-0,64665;
0,0163033;-0,0452287;0,616247;-0,636229;
0,0164033;-0,0468485;0,602835;-0,622818;
0,0165033;-0,0484858;0,586499;-0,60648;
0,0166033;-0,050142;0,567313;-0,587295;
0,0167033;-0,0518191;0,545371;-0,565352;
0,0168033;-0,0535199;0,520777;-0,540758;
0,0169033;-0,055247;0,493649;-0,513629;
0,0170033;-0,0570041;0,464116;-0,484096;
0,0171033;-0,0587948;0,432319;-0,452299;
0,0172033;-0,0606236;0,39841;-0,41839;
0,0173033;-0,0624949;0,362551;-0,38253;
0,0174033;-0,0644137;0,324913;-0,344892;
0,0175033;-0,066385;0,285677;-0,305654;
0,0176033;-0,0684145;0,245028;-0,265005;
0,0177033;-0,0705075;0,203161;-0,223137;
0,0178033;-0,0726701;0,160277;-0,180253;
0,0179033;-0,0749078;0,11658;-0,136554;
0,0180033;-0,0772271;0,0722784;-0,0922521;
0,0181033;-0,0796334;0,0275844;-0,0475566;
0,0182033;-0,0821332;-0,0172895;-0,00268226;
0,0183033;-0,0847319;-0,0621279;0,0421579;
0,0184033;-0,0874359;-0,106718;0,0867484;
0,0185033;-0,0902502;-0,150845;0,130878;
0,0186033;-0,0931808;-0,194301;0,174334;
0,0187033;-0,0962324;-0,236876;0,21691;
0,0188033;-0,0994105;-0,278368;0,258403;
0,0189033;-0,102719;-0,318577;0,298615;
0,0190033;-0,106163;-0,357314;0,337352;
0,0191033;-0,109745;-0,394392;0,374432;
0,0192033;-0,113469;-0,429634;0,409676;
0,0193033;-0,117338;-0,462872;0,442916;
0,0194033;-0,121355;-0,493949;0,473993;
0,0195033;-0,12552;-0,522713;0,50276;
0,0196033;-0,129836;-0,54903;0,529078;
0,0197033;-0,134302;-0,572773;0,552822;
0,0198033;-0,13892;-0,593828;0,573879;
0,0199033;-0,143687;-0,612095;0,592148;
0,0200033;-0,148603;-0,627488;0,607542;
0,0201033;-0,153665;-0,639931;0,619988;
0,0202033;-0,158872;-0,649367;0,629425;
0,0203033;-0,164218;-0,655749;0,635809;
0,0204033;-0,169701;-0,659048;0,639109;
0,0205033;-0,175315;-0,659248;0,639311;
0,0206033;-0,181055;-0,656347;0,636411;
0,0207033;-0,186914;-0,65036;0,630426;
0,0208033;-0,192887;-0,641315;0,621382;
0,0209033;-0,198963;-0,629255;0,609324;
0,0210033;-0,205136;-0,614239;0,594308;
0,0211033;-0,211397;-0,596336;0,576408;
0,0212033;-0,217735;-0,575635;0,555707;
0,0213033;-0,224141;-0,552231;0,532305;
0,0214033;-0,230605;-0,526239;0,506314;
0,0215033;-0,237113;-0,497782;0,477858;
0,0216033;-0,243656;-0,466995;0,447072;
0,0217033;-0,25022;-0,434026;0,414104;
0,0218033;-0,256793;-0,399032;0,37911;
0,0219033;-0,263362;-0,36218;0,342259;
0,0220033;-0,269914;-0,323647;0,303726;
0,0221033;-0,276433;-0,283616;0,263696;
0,0222033;-0,282908;-0,242278;0,222358;
0,0223033;-0,289324;-0,199831;0,179911;
0,0224033;-0,295666;-0,156477;0,136557;
0,0225033;-0,301919;-0,112424;0,0925039;
0,0226033;-0,308071;-0,0678818;0,047961;
0,0227033;-0,314105;-0,0230627;0,00314187;
0,0228033;-0,320009;0,0218186;-0,0417403;
0,0229033;-0,325766;0,0665484;-0,0864704;
0,0230033;-0,331365;0,110912;-0,130836;
0,0231033;-0,33679;0,1547;-0,174623;
0,0232033;-0,342029;0,1977;-0,217625;
0,0233033;-0,347068;0,239709;-0,259635;
0,0234033;-0,351895;0,280526;-0,300453;
0,0235033;-0,356496;0,319956;-0,339884;
0,0236033;-0,360861;0,35781;-0,37774;
0,0237033;-0,364977;0,393908;-0,41384;
0,0238033;-0,368835;0,428077;-0,448011;
0,0239033;-0,372423;0,460155;-0,48009;
0,0240033;-0,375733;0,489988;-0,509925;
0,0241033;-0,378755;0,517434;-0,537373;
0,0242033;-0,381483;0,542361;-0,562302;
0,0243033;-0,383908;0,564651;-0,584594;
0,0244033;-0,386024;0,584197;-0,604142;
0,0245033;-0,387825;0,600905;-0,620853;
0,0246033;-0,389306;0,614697;-0,634648;
0,0247033;-0,390464;0,625506;-0,645459;
0,0248033;-0,391296;0,63328;-0,653236;
0,0249033;-0,391798;0,637983;-0,657941;
0,0250033;-0,391971;0,639592;-0,659553;
0,0251033;-0,391813;0,6381;-0,658063;
0,0252033;-0,391326;0,633512;-0,653478;
0,0253033;-0,39051;0,625852;-0,645821;
0,0254033;-0,389368;0,615156;-0,635127;
0,0255033;-0,387902;0,601474;-0,621448;
0,0256033;-0,386118;0,584873;-0,60485;
0,0257033;-0,38402;0,565432;-0,585411;
0,0258033;-0,381614;0,543243;-0,563225;
0,0259033;-0,378906;0,518412;-0,538397;
0,0260033;-0,375905;0,491058;-0,511046;
0,0261033;-0,372616;0,461312;-0,481302;
0,0262033;-0,369051;0,429315;-0,449308;
0,0263033;-0,365218;0,395221;-0,415215;
0,0264033;-0,361128;0,359191;-0,379189;
0,0265033;-0,356791;0,321399;-0,341399;
0,0266033;-0,352219;0,282024;-0,302026;
0,0267033;-0,347423;0,241255;-0,261259;
0,0268033;-0,342417;0,199286;-0,219293;
0,0269033;-0,337212;0,156319;-0,176327;
0,0270033;-0,331823;0,112556;-0,132567;
0,0271033;-0,326261;0,068209;-0,0882212;
0,0272033;-0,320542;0,0234882;-0,0435023;
0,0273033;-0,314679;-0,0213924;0,00137677;
0,0274033;-0,308687;-0,0662188;0,0462014;
0,0275033;-0,30258;-0,110776;0,0907578;
0,0276033;-0,296371;-0,154853;0,134833;
0,0277033;-0,290076;-0,198238;0,178217;
0,0278033;-0,283709;-0,240724;0,220702;
0,0279033;-0,277283;-0,282108;0,262085;
0,0280033;-0,270813;-0,322194;0,302169;
0,0281033;-0,264313;-0,360788;0,340763;
0,0282033;-0,257797;-0,397707;0,377681;
0,0283033;-0,251276;-0,432775;0,412749;
0,0284033;-0,244766;-0,465825;0,445797;
0,0285033;-0,238277;-0,496697;0,47667;
0,0286033;-0,231823;-0,525246;0,505218;
0,0287033;-0,225414;-0,551335;0,531307;
0,0288033;-0,219062;-0,574839;0,55481;
0,0289033;-0,212777;-0,595645;0,575617;
0,0290033;-0,20657;-0,613655;0,593627;
0,0291033;-0,20045;-0,628783;0,608755;
0,0292033;-0,194426;-0,640956;0,620928;
0,0293033;-0,188505;-0,650117;0,630089;
0,0294033;-0,182695;-0,656221;0,636193;
0,0295033;-0,177004;-0,659239;0,639212;
0,0296033;-0,171437;-0,659157;0,63913;
0,0297033;-0,165999;-0,655975;0,635949;
0,0298033;-0,160696;-0,649709;0,629684;
0,0299033;-0,15553;-0,640389;0,620364;
0,0300033;-0,150506;-0,628058;0,608034;
0,0301033;-0,145626;-0,612776;0,592752;
0,0302033;-0,140893;-0,594616;0,574593;
0,0303033;-0,136306;-0,573664;0,553642;
0,0304033;-0,131867;-0,550022;0,53;
0,0305033;-0,127575;-0,5238;0,503779;
0,0306033;-0,123431;-0,495125;0,475105;
0,0307033;-0,119432;-0,464134;0,444114;
0,0308033;-0,115576;-0,430974;0,410955;
0,0309033;-0,111862;-0,395804;0,375786;
0,0310033;-0,108286;-0,358792;0,338775;
0,0311033;-0,104844;-0,320115;0,300098;
0,0312033;-0,101534;-0,279957;0,259941;
0,0313033;-0,0983505;-0,23851;0,218494;
0,0314033;-0,095289;-0,195971;0,175957;
0,0315033;-0,0923444;-0,152545;0,132531;
0,0316033;-0,0895119;-0,108438;0,0884251;
0,0317033;-0,0867857;-0,0638615;0,0438488;
0,0318033;-0,0841604;-0,0190275;-0,000984581;
0,0319033;-0,08163;0,0258495;-0,0458611;
0,0320033;-0,0791888;0,0705552;-0,0905664;
0,0321033;-0,0768307;0,114876;-0,134887;
0,0322033;-0,0745501;0,158601;-0,178611;
0,0323033;-0,0723407;0,201521;-0,221531;
0,0324033;-0,0701971;0,24343;-0,26344;
0,0325033;-0,0681132;0,28413;-0,304139;
0,0326033;-0,0660839;0,323425;-0,343434;
0,0327033;-0,0641036;0,361127;-0,381137;
0,0328033;-0,0621675;0,397058;-0,417067;
0,0329033;-0,0602706;0,431045;-0,451054;
0,0330033;-0,0584088;0,462926;-0,482934;
0,0331033;-0,0565777;0,492548;-0,512557;
0,0332033;-0,054774;0,519771;-0,53978;
0,0333033;-0,0529941;0,544464;-0,564473;
0,0334033;-0,0512356;0,56651;-0,586519;
0,0335033;-0,0494959;0,585803;-0,605812;
0,0336033;-0,0477734;0,602251;-0,622259;
0,0337033;-0,0460666;0,615775;-0,635784;
0,0338033;-0,044375;0,626311;-0,64632;
0,0339033;-0,0426981;0,633809;-0,653818;
0,0340033;-0,0410365;0,638232;-0,658241;
0,0341033;-0,0393908;0,639561;-0,65957;
0,0342033;-0,0377628;0,637787;-0,657796;
0,0343033;-0,0361543;0,632921;-0,65293;
0,0344033;-0,034568;0,624984;-0,644993;
0,0345033;-0,0330069;0,614016;-0,634025;
0,0346033;-0,0314748;0,600067;-0,620076;
0,0347033;-0,0299758;0,583206;-0,603215;
0,0348033;-0,0285147;0,563512;-0,583521;
0,0349033;-0,0270966;0,54108;-0,561088;
0,0350033;-0,0257273;0,516016;-0,536024;
0,0351033;-0,0244127;0,488441;-0,508448;
0,0352033;-0,0231594;0,458485;-0,478493;
0,0353033;-0,0219743;0,426293;-0,4463;
0,0354033;-0,0208647;0,392017;-0,412023;
0,0355033;-0,0198381;0,355821;-0,375827;
0,0356033;-0,0189023;0,317879;-0,337885;
0,0357033;-0,0180653;0,278372;-0,298376;
0,0358033;-0,0173354;0,237487;-0,257491;
0,0359033;-0,016721;0,19542;-0,215423;
0,0360033;-0,0162305;0,152373;-0,172375;
0,0361033;-0,0158726;0,108551;-0,128551;
0,0362033;-0,0156557;0,0641622;-0,0841617;
0,0363033;-0,0155884;0,0194194;-0,0394178;
0,0364033;-0,0156791;-0,0254636;0,00546661;
0,0365033;-0,015936;-0,0702729;0,0502772;
0,0366033;-0,0163673;-0,114794;0,0948;
0,0367033;-0,0169809;-0,158815;0,138822;
0,0368033;-0,0177843;-0,202125;0,182134;
0,0369033;-0,0187848;-0,244518;0,224529;
0,0370033;-0,0199894;-0,285791;0,265804;
0,0371033;-0,0214044;-0,325747;0,305761;
0,0372033;-0,023036;-0,364195;0,344212;
0,0373033;-0,0248895;-0,400952;0,38097;
0,0374033;-0,0269701;-0,435842;0,415862;
0,0375033;-0,0292821;-0,468699;0,448721;
0,0376033;-0,0318293;-0,499365;0,479389;
0,0377033;-0,0346148;-0,527694;0,507721;
0,0378033;-0,0376412;-0,553552;0,53358;
0,0379033;-0,0409101;-0,576813;0,556844;
0,0380033;-0,0444227;-0,597368;0,577402;
0,0381033;-0,0481792;-0,615119;0,595155;
0,0382033;-0,0521792;-0,62998;0,610018;
0,0383033;-0,0564214;-0,64188;0,62192;
0,0384033;-0,0609037;-0,650763;0,630806;
0,0385033;-0,0656234;-0,656586;0,636632;
0,0386033;-0,0705766;-0,659322;0,63937;
0,0387033;-0,0757591;-0,658957;0,639007;
0,0388033;-0,0811655;-0,655494;0,635546;
0,0389033;-0,0867897;-0,648948;0,629002;
0,0390033;-0,092625;-0,63935;0,619407;
0,0391033;-0,0986635;-0,626748;0,606807;
0,0392033;-0,104897;-0,611201;0,591262;
0,0393033;-0,111316;-0,592782;0,572845;
0,0394033;-0,117912;-0,571581;0,551646;
0,0395033;-0,124673;-0,547698;0,527765;
0,0396033;-0,131588;-0,521248;0,501317;
0,0397033;-0,138645;-0,492356;0,472427;
0,0398033;-0,145833;-0,461161;0,441233;
0,0399033;-0,153137;-0,427811;0,407885;
0,0400033;-0,160545;-0,392466;0,372542;
0,0401033;-0,168043;-0,355295;0,335372;
0,0402033;-0,175616;-0,316475;0,296553;
0,0403033;-0,183249;-0,276192;0,256271;
0,0404033;-0,190927;-0,234637;0,214717;
0,0405033;-0,198636;-0,192009;0,172091;
0,0406033;-0,206359;-0,148512;0,128595;
0,0407033;-0,21408;-0,104354;0,0844369;
0,0408033;-0,221784;-0,059745;0,0398285;
0,0409033;-0,229455;-0,0148984;-0,00501775;
0,0410033;-0,237077;0,0299718;-0,0498876;
0,0411033;-0,244634;0,0746513;-0,0945669;
0,0412033;-0,25211;0,118927;-0,138842;
0,0413033;-0,25949;0,162587;-0,182502;
0,0414033;-0,266758;0,205423;-0,225338;
0,0415033;-0,273899;0,24723;-0,267146;
0,0416033;-0,280898;0,287809;-0,307726;
0,0417033;-0,28774;0,326967;-0,346884;
