time;V(/VoutN)1;V(/VoutP)1;
0,016566;0,30949;-0,860076;
0,016666;0,294002;-0,833712;
0,016766;0,276242;-0,804235;
0,016866;0,25631;-0,771771;
0,016966;0,234317;-0,736458;
0,017066;0,210386;-0,698449;
0,017166;0,184648;-0,657906;
0,017266;0,157244;-0,615007;
0,017366;0,128325;-0,569935;
0,017466;0,0980477;-0,522887;
0,017566;0,0665779;-0,474066;
0,017666;0,0340866;-0,423685;
0,017766;0,000751043;-0,371963;
0,017866;-0,0332474;-0,319124;
0,017966;-0,0677233;-0,265398;
0,018066;-0,102488;-0,211017;
0,018166;-0,137353;-0,156216;
0,018266;-0,172125;-0,101234;
0,018366;-0,206614;-0,0463062;
0,018466;-0,240629;0,00832933;
0,018566;-0,273982;0,0624384;
0,018666;-0,306486;0,115789;
0,018766;-0,337961;0,168154;
0,018866;-0,368228;0,219309;
0,018966;-0,397114;0,26904;
0,019066;-0,424455;0,317136;
0,019166;-0,45009;0,363395;
0,019266;-0,473869;0,407626;
0,019366;-0,49565;0,449647;
0,019466;-0,5153;0,489285;
0,019566;-0,532695;0,526381;
0,0196645;-0,547522;0,560309;
0,0197389;-0,557126;0,584091;
0,0198102;-0,56502;0,605386;
0,0198922;-0,572471;0,628003;
0,0199794;-0,578433;0,649773;
0,0200794;-0,582733;0,671782;
0,0201794;-0,584275;0,69056;
0,0202794;-0,583022;0,706045;
0,0203794;-0,578949;0,718194;
0,0204794;-0,572048;0,726979;
0,0205794;-0,56232;0,732387;
0,0206794;-0,549784;0,73442;
0,0207794;-0,534471;0,7331;
0,0208794;-0,516423;0,728461;
0,0209794;-0,495699;0,720554;
0,0210794;-0,472369;0,709446;
0,0211794;-0,446516;0,695216;
0,0212794;-0,418236;0,677963;
0,0213794;-0,387637;0,657794;
0,0214794;-0,354837;0,634835;
0,0215794;-0,319966;0,60922;
0,0216794;-0,283164;0,5811;
0,0217794;-0,244581;0,550634;
0,0218794;-0,204376;0,517992;
0,0219794;-0,162715;0,483357;
0,0220794;-0,119774;0,446918;
0,0221794;-0,0757335;0,408872;
0,0222794;-0,0307799;0,369425;
0,0223794;0,0148943;0,328788;
0,0224794;0,0610933;0,287177;
0,0225794;0,107618;0,244811;
0,0226794;0,154267;0,201916;
0,0227794;0,200838;0,158714;
0,0228794;0,247128;0,115433;
0,0229794;0,292935;0,0722967;
0,0230794;0,338057;0,0295302;
0,0231794;0,382297;-0,0126454;
0,0232794;0,42546;-0,0540121;
0,0233794;0,467356;-0,0943568;
0,0234794;0,507799;-0,133472;
0,0235794;0,546611;-0,171156;
0,0236794;0,583619;-0,207217;
0,0237794;0,618659;-0,24147;
0,0238794;0,651575;-0,273739;
0,0239794;0,682221;-0,30386;
0,0240794;0,710461;-0,331679;
0,0241794;0,736168;-0,357055;
0,0242794;0,759228;-0,379857;
0,0243794;0,779537;-0,399971;
0,0244794;0,797006;-0,417294;
0,0245794;0,811555;-0,431737;
0,0246794;0,82312;-0,443228;
0,0247794;0,831649;-0,451708;
0,0248794;0,837104;-0,457135;
