time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0,012011;0,0571533;-0,603927;0,569325;
0,012111;0,0570085;-0,582782;0,54914;
0,012211;0,0566554;-0,558921;0,526265;
0,012311;0,056099;-0,532459;0,50081;
0,012411;0,0553448;-0,503521;0,472897;
0,012511;0,0543995;-0,472247;0,442658;
0,012611;0,0532706;-0,438786;0,410237;
0,012711;0,0519662;-0,403297;0,37579;
0,012811;0,0504953;-0,365951;0,339481;
0,012911;0,0488677;-0,326925;0,301482;
0,013011;0,0470936;-0,286406;0,261976;
0,013111;0,045184;-0,244588;0,22115;
0,013211;0,0431504;-0,20167;0,1792;
0,013311;0,041005;-0,157857;0,136327;
0,013411;0,0387599;-0,11336;0,0927334;
0,013511;0,0364282;-0,0683888;0,0486292;
0,013611;0,034023;-0,0231598;0,00422446;
0,013711;0,0315575;0,0221115;-0,0402688;
0,013811;0,0290455;0,0672089;-0,084638;
0,013911;0,0265005;0,111917;-0,128671;
0,014011;0,0239363;0,156023;-0,172158;
0,014111;0,0213665;0,199316;-0,214892;
0,014211;0,0188049;0,241588;-0,256667;
0,014311;0,0162649;0,28264;-0,297284;
0,014411;0,0137597;0,322274;-0,336549;
0,014511;0,0113023;0,360302;-0,374275;
0,014611;0,00890525;0,396542;-0,410282;
0,014711;0,00658088;0,430821;-0,444396;
0,014811;0,0043409;0,462976;-0,476455;
0,014911;0,00219653;0,492853;-0,506307;
0,015011;0,000158432;0,520311;-0,533807;
0,015111;-0,00176338;0,545217;-0,558825;
0,015211;-0,00355954;0,567454;-0,58124;
0,015311;-0,00522144;0,586915;-0,600946;
0,015411;-0,00674119;0,603509;-0,617849;
0,015511;-0,00811174;0,617155;-0,631866;
0,015611;-0,00932684;0,627789;-0,642931;
0,015711;-0,0103811;0,635361;-0,650991;
0,015811;-0,0112701;0,639835;-0,656007;
0,015911;-0,0119902;0,641189;-0,657954;
0,016011;-0,0125388;0,639418;-0,656823;
0,016111;-0,0129141;0,634531;-0,65262;
0,016211;-0,0131154;0,62655;-0,645363;
0,016311;-0,0131428;0,615516;-0,635087;
0,016411;-0,0129975;0,601479;-0,621841;
0,016511;-0,0126816;0,584509;-0,605688;
0,016611;-0,0121979;0,564687;-0,586703;
0,016711;-0,0115505;0,542107;-0,564978;
0,016811;-0,0107441;0,516878;-0,540616;
0,016911;-0,00978428;0,489121;-0,513733;
0,017011;-0,00867763;0,458969;-0,484457;
0,017111;-0,00743141;0,426565;-0,452926;
0,017211;-0,00605369;0,392067;-0,419291;
0,017311;-0,00455326;0,355637;-0,383713;
0,017411;-0,0029396;0,317452;-0,34636;
0,017511;-0,00122281;0,277693;-0,307411;
0,017611;0,000586407;0,236552;-0,267051;
0,017711;0,00247682;0,194224;-0,225472;
0,017811;0,00443674;0,150913;-0,182873;
0,017911;0,00645404;0,106827;-0,139455;
0,018011;0,00851624;0,0621745;-0,095427;
0,018111;0,0106106;0,0171712;-0,0509977;
0,018211;0,012724;-0,0279682;-0,00637877;
0,018311;0,0148435;-0,0730274;0,0382171;
0,018411;0,0169556;-0,117791;0,0825775;
0,018511;0,0190471;-0,162045;0,126491;
0,018611;0,0211048;-0,205576;0,169749;
0,018711;0,0231155;-0,248178;0,212144;
0,018811;0,0250661;-0,289646;0,253476;
0,018911;0,026944;-0,329781;0,293547;
0,019011;0,0287366;-0,368391;0,332166;
0,019111;0,0304319;-0,405292;0,369149;
0,019211;0,0320181;-0,440307;0,404321;
0,019311;0,0334841;-0,473268;0,437513;
0,019411;0,0348191;-0,504017;0,468569;
0,019511;0,0360132;-0,532406;0,497339;
0,019611;0,0370568;-0,558301;0,523688;
0,019711;0,0379412;-0,581577;0,547489;
0,019811;0,0386585;-0,602121;0,56863;
0,019911;0,0392013;-0,619836;0,58701;
0,020011;0,0395634;-0,634637;0,602541;
0,020111;0,039739;-0,646453;0,615151;
0,020211;0,0397236;-0,655225;0,624779;
0,020311;0,0395135;-0,660914;0,63138;
0,020411;0,0391056;-0,663489;0,634922;
0,020511;0,0384983;-0,66294;0,635389;
0,020611;0,0376905;-0,659268;0,63278;
0,020711;0,0366823;-0,652491;0,627107;
0,020811;0,0354747;-0,64264;0,618397;
0,020911;0,0340697;-0,629761;0,606693;
0,021011;0,0324702;-0,613917;0,592051;
0,021111;0,0306802;-0,595183;0,57454;
0,021211;0,0287045;-0,573647;0,554246;
0,021311;0,0265489;-0,549412;0,531265;
0,021411;0,02422;-0,522593;0,505707;
0,021511;0,0217254;-0,493319;0,477695;
0,021611;0,0190734;-0,461729;0,447363;
0,021711;0,0162732;-0,427973;0,414855;
0,021811;0,0133348;-0,392212;0,380328;
0,021911;0,0102687;-0,354617;0,343946;
0,022011;0,00708634;-0,315366;0,305883;
0,022111;0,00379958;-0,274649;0,266322;
0,022211;0,000420931;-0,232657;0,225451;
0,022311;-0,00303662;-0,189593;0,183466;
0,022411;-0,00655962;-0,14566;0,140567;
0,022511;-0,0101342;-0,10107;0,09696;
0,022611;-0,0137463;-0,0560337;0,0528525;
0,022711;-0,0173814;-0,0107673;0,00845556;
0,022811;-0,021025;0,0345136;-0,0360187;
0,022911;-0,0246623;0,0795928;-0,0803579;
0,023011;-0,0282785;0,124255;-0,12435;
0,023111;-0,0318588;0,168288;-0,167785;
0,023211;-0,0353886;0,21148;-0,210456;
0,023311;-0,0388533;0,253625;-0,252158;
0,023411;-0,0422385;0,294523;-0,292693;
0,023511;-0,0455301;0,333979;-0,331867;
0,023611;-0,0487145;0,371802;-0,369493;
0,023711;-0,0517784;0,407814;-0,405391;
0,023811;-0,0547088;0,441842;-0,43939;
0,023911;-0,0574936;0,473723;-0,471328;
0,024011;-0,0601209;0,503306;-0,501051;
0,024111;-0,0625797;0,530448;-0,528419;
0,024211;-0,0648596;0,555021;-0,553301;
0,024311;-0,0669509;0,576906;-0,575578;
0,024411;-0,0688448;0,596;-0,595144;
0,024511;-0,0705333;0,61221;-0,611905;
0,024611;-0,0720091;0,625459;-0,625782;
0,024711;-0,073266;0,635684;-0,636709;
0,024811;-0,0742986;0,642836;-0,644633;
0,024911;-0,0751026;0,64688;-0,649517;
0,025011;-0,0756745;0,647798;-0,651338;
0,025111;-0,0760118;0,645583;-0,650088;
0,025211;-0,0761133;0,640247;-0,645772;
0,025311;-0,0759783;0,631815;-0,638411;
0,025411;-0,0756075;0,620326;-0,628042;
0,025511;-0,0750025;0,605836;-0,614713;
0,025611;-0,0741658;0,588413;-0,598488;
0,025711;-0,073101;0,56814;-0,579447;
0,025811;-0,0718127;0,545114;-0,557679;
0,025911;-0,0703063;0,519444;-0,533288;
0,026011;-0,0685883;0,491252;-0,506393;
0,026111;-0,0666659;0,460674;-0,477121;
0,026211;-0,0645473;0,427853;-0,445613;
0,026311;-0,0622415;0,392947;-0,412019;
0,026411;-0,0597583;0,356123;-0,376501;
0,026511;-0,0571081;0,317554;-0,339228;
0,026611;-0,0543021;0,277426;-0,300379;
0,026711;-0,0513521;0,235929;-0,260139;
0,026811;-0,0482705;0,193261;-0,218702;
0,026911;-0,0450703;0,149626;-0,176265;
0,027011;-0,0417648;0,105231;-0,133031;
0,027111;-0,0383678;0,0602879;-0,0892082;
0,027211;-0,0348933;0,0150107;-0,0450054;
0,027311;-0,0313558;-0,0303848;-0,000634258;
0,027411;-0,0277699;-0,0756823;0,0436928;
0,027511;-0,0241502;-0,120666;0,0877638;
0,027611;-0,0205116;-0,165121;0,131368;
0,027711;-0,0168687;-0,208837;0,174296;
0,027811;-0,0132365;-0,251604;0,216343;
0,027911;-0,00962938;-0,293219;0,257307;
0,028011;-0,00606177;-0,333484;0,296993;
0,028111;-0,00254779;-0,372208;0,33521;
0,028211;0,000898776;-0,409204;0,371775;
0,028311;0,00426456;-0,444299;0,406514;
