time;V(/BiasOut)1;V(/VoutN)1;V(/VoutP)1;
0;-0,0359986;-0,0099982;-0,0099982;
1e-06;-0,0359769;-0,0100795;-0,00993413;
2e-06;-0,0359457;-0,010217;-0,00980428;
4e-06;-0,0358797;-0,0105878;-0,00943626;
8e-06;-0,0357554;-0,0117657;-0,00825257;
1,6e-05;-0,0355312;-0,0149321;-0,00508709;
2,68289e-05;-0,0352574;-0,0197269;-0,00028704;
3,93609e-05;-0,0349698;-0,0253545;0,00533894;
6,2744e-05;-0,0344624;-0,035845;0,015833;
0,00010951;-0,0334889;-0,056808;0,0367937;
0,000203043;-0,0315643;-0,0985614;0,0785495;
0,000303043;-0,0295359;-0,142792;0,122778;
0,000403043;-0,0275489;-0,186386;0,166374;
0,000503043;-0,0256207;-0,22914;0,209127;
0,000603043;-0,0237605;-0,270845;0,250834;
0,000703043;-0,021986;-0,311308;0,291295;
0,000803043;-0,0203051;-0,350328;0,330319;
0,000903043;-0,0187348;-0,387727;0,367715;
0,00100304;-0,017282;-0,423319;0,403311;
0,00110304;-0,0159624;-0,45694;0,43693;
0,00120304;-0,0147817;-0,488424;0,468418;
0,00130304;-0,0137542;-0,517626;0,497619;
0,00140304;-0,0128842;-0,544403;0,524399;
0,00150304;-0,0121844;-0,568629;0,548624;
0,00160304;-0,0116572;-0,590186;0,570184;
0,00170304;-0,0113137;-0,608974;0,588973;
0,00180304;-0,0111546;-0,624901;0,604902;
0,00190304;-0,011189;-0,637893;0,617894;
0,00200304;-0,0114156;-0,647885;0,62789;
0,00210304;-0,0118416;-0,654833;0,634837;
0,00220304;-0,0124636;-0,6587;0,638708;
0,00230304;-0,0132867;-0,659471;0,639479;
0,00240304;-0,0143057;-0,65714;0,637151;
0,00250304;-0,0155234;-0,651719;0,631731;
0,00260304;-0,0169325;-0,643234;0,623248;
0,00270304;-0,0185339;-0,631725;0,61174;
0,00280304;-0,0203183;-0,617247;0,597265;
0,00290304;-0,0222845;-0,59987;0,579888;
0,00300304;-0,0244212;-0,579676;0,559697;
0,00310304;-0,0267254;-0,556762;0,536783;
0,00320304;-0,0291841;-0,531237;0,511261;
0,00330304;-0,0317922;-0,503224;0,483248;
0,00340304;-0,0345354;-0,472854;0,45288;
0,00350304;-0,0374068;-0,440275;0,420302;
0,00360304;-0,0403906;-0,405641;0,38567;
0,00370304;-0,0434786;-0,369119;0,349148;
0,00380304;-0,0466537;-0,33088;0,310911;
0,00390304;-0,0499066;-0,291111;0,271142;
0,00400304;-0,053219;-0,249998;0,230031;
0,00410304;-0,0565808;-0,20774;0,187773;
0,00420304;-0,059973;-0,164537;0,144571;
0,00430304;-0,0633846;-0,120597;0,10063;
0,00440304;-0,0667964;-0,0761284;0,0561627;
0,00450304;-0,070197;-0,0313445;0,011378;
0,00460304;-0,0735669;0,0135423;-0,0335078;
0,00470304;-0,0768945;0,0583158;-0,0782822;
0,00480304;-0,0801606;0,102764;-0,12273;
0,00490304;-0,0833538;0,146673;-0,16664;
0,00500304;-0,0864553;0,189834;-0,209801;
0,00510304;-0,0894541;0,232041;-0,252009;
0,00520304;-0,0923321;0,273093;-0,293061;
0,00530304;-0,0950791;0,312792;-0,332761;
0,00540304;-0,0976779;0,35095;-0,37092;
0,00550304;-0,100119;0,387385;-0,407356;
0,00560304;-0,102388;0,421922;-0,441894;
0,00570304;-0,104475;0,454397;-0,474371;
0,00580304;-0,106367;0,484654;-0,504629;
0,00590304;-0,108056;0,512549;-0,532526;
0,00600304;-0,109531;0,53795;-0,557928;
0,00610304;-0,110787;0,560733;-0,580713;
0,00620304;-0,111812;0,580792;-0,600773;
0,00630304;-0,112604;0,598029;-0,618013;
0,00640304;-0,113153;0,612364;-0,632349;
0,00650304;-0,11346;0,623726;-0,643713;
0,00660304;-0,113517;0,632063;-0,652052;
0,00670304;-0,113325;0,637333;-0,657324;
0,00680304;-0,112881;0,639513;-0,659506;
0,00690304;-0,112186;0,638591;-0,658586;
0,00700304;-0,111239;0,634572;-0,654569;
0,00710304;-0,110045;0,627475;-0,647475;
0,00720304;-0,108603;0,617335;-0,637336;
0,00730304;-0,106923;0,604198;-0,624202;
0,00740304;-0,105005;0,588129;-0,608135;
0,00750304;-0,102858;0,569204;-0,589212;
0,00760304;-0,100488;0,547514;-0,567523;
0,00770304;-0,0979051;0,523161;-0,543173;
0,00780304;-0,095116;0,496262;-0,516276;
0,00790304;-0,0921333;0,466946;-0,486962;
0,00800304;-0,0889654;0,435353;-0,45537;
0,00810304;-0,0856264;0,401633;-0,421652;
0,00820304;-0,0821265;0,365947;-0,385968;
0,00830304;-0,0784812;0,328467;-0,348488;
0,00840304;-0,0747018;0,28937;-0,309393;
0,00850304;-0,070805;0,248844;-0,268868;
0,00860304;-0,0668034;0,207081;-0,227107;
0,00870304;-0,0627144;0,164282;-0,184309;
0,00880304;-0,0585516;0,120651;-0,140679;
0,00890304;-0,0543329;0,0763963;-0,0964245;
0,00900304;-0,0500725;0,0317287;-0,0517578;
0,00910304;-0,0457886;-0,013138;-0,00689151;
0,00920304;-0,0414957;-0,0579899;0,0379597;
0,00930304;-0,037212;-0,102612;0,0825822;
0,00940304;-0,032952;-0,146793;0,126762;
0,00950304;-0,0287337;-0,19032;0,17029;
0,00960304;-0,0245711;-0,232986;0,212956;
0,00970304;-0,0204818;-0,274588;0,254558;
0,00980304;-0,0164791;-0,314926;0,294896;
0,00990304;-0,0125797;-0,353808;0,333779;
0,010003;-0,00879628;-0,391048;0,37102;
0,010103;-0,00514422;-0,426469;0,406441;
0,010203;-0,00163503;-0,459902;0,439874;
0,010303;0,00171716;-0,491185;0,471159;
0,010403;0,00490223;-0,520172;0,500147;
0,010503;0,00790766;-0,546722;0,526698;
0,010603;0,0107249;-0,57071;0,550687;
0,010703;0,0133432;-0,59202;0,571999;
0,010803;0,0157557;-0,610551;0,590531;
0,010903;0,0179536;-0,626214;0,606196;
0,011003;0,019932;-0,638935;0,618918;
0,011103;0,0216842;-0,648653;0,628638;
0,011203;0,0232072;-0,655321;0,635308;
0,011303;0,0244964;-0,658908;0,638896;
0,011403;0,0255509;-0,659397;0,639386;
0,011503;0,0263684;-0,656784;0,636776;
0,011603;0,02695;-0,651083;0,631077;
0,011703;0,0272956;-0,642321;0,622317;
0,011803;0,0274083;-0,63054;0,610537;
0,011903;0,0272902;-0,615795;0,595795;
0,012003;0,0269466;-0,598158;0,578159;
0,012103;0,0263815;-0,577713;0,557716;
0,012203;0,0256021;-0,554557;0,534561;
0,012303;0,0246145;-0,5288;0,508806;
0,012403;0,0234275;-0,500566;0,480574;
0,012503;0,0220493;-0,46999;0,45;
0,012603;0,0204903;-0,437217;0,417228;
0,012703;0,01876;-0,402404;0,382417;
0,012803;0,0168706;-0,365718;0,345732;
0,012903;0,014833;-0,327333;0,307349;
0,013003;0,0126603;-0,287433;0,26745;
0,013103;0,0103649;-0,246208;0,226226;
0,013203;0,00796081;-0,203856;0,183874;
0,013303;0,00546132;-0,160577;0,140597;
0,013403;0,00288117;-0,11658;0,0966001;
0,013503;0,000234291;-0,0720733;0,0520949;
0,013603;-0,00246416;-0,0272709;0,00729245;
0,013703;-0,00519986;0,0176146;-0,0375919;
0,013803;-0,00795753;0,0623676;-0,0823451;
0,013903;-0,0107228;0,106776;-0,126752;
0,014003;-0,0134804;0,150626;-0,170603;
0,014103;-0,0162163;0,193709;-0,213685;
0,014203;-0,0189157;0,235819;-0,255796;
0,014303;-0,0215649;0,276756;-0,296733;
0,014403;-0,0241499;0,316323;-0,336301;
0,014503;-0,0266579;0,354333;-0,37431;
0,014603;-0,0290757;0,390602;-0,410581;
0,014703;-0,0313915;0,424959;-0,444937;
0,014803;-0,0335936;0,457238;-0,477218;
0,014903;-0,0356711;0,487287;-0,507267;
0,015003;-0,0376138;0,514961;-0,534943;
0,015103;-0,0394126;0,540129;-0,560111;
0,015203;-0,0410587;0,562669;-0,582653;
0,015303;-0,0425445;0,582476;-0,60246;
0,015403;-0,0438632;0,599452;-0,619439;
0,015503;-0,045009;0,61352;-0,633506;
0,015603;-0,045977;0,624609;-0,644598;
0,015703;-0,0467633;0,632669;-0,652658;
0,015803;-0,047365;0,637659;-0,657651;
0,015903;-0,0477801;0,639558;-0,65955;
0,016003;-0,0480079;0,638354;-0,658348;
0,016103;-0,0480484;0,634055;-0,65405;
0,016203;-0,0479029;0,62668;-0,646677;
0,016303;-0,0475734;0,616265;-0,636263;
0,016403;-0,0470634;0,602859;-0,62286;
0,016503;-0,0463767;0,586528;-0,606529;
0,016603;-0,0455189;0,567348;-0,587351;
0,016703;-0,0444956;0,545411;-0,565415;
0,016803;-0,0433142;0,520822;-0,540828;
0,016903;-0,0419822;0,493699;-0,513705;
0,017003;-0,0405087;0,46417;-0,484178;
0,017103;-0,0389027;0,432377;-0,452386;
0,017203;-0,0371749;0,398472;-0,418482;
0,017303;-0,0353358;0,362616;-0,382627;
0,017403;-0,0333974;0,324981;-0,344994;
