time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,101313;2,50619;2,49556;2,49687;
0,101323;2,50619;2,49556;2,49687;
0,101333;2,50619;2,49556;2,49687;
0,101343;2,50619;2,49556;2,49687;
0,101353;2,50619;2,49556;2,49687;
0,101363;2,50619;2,49556;2,49687;
0,101373;2,50619;2,49556;2,49688;
0,101383;2,50619;2,49556;2,49688;
0,101393;2,50619;2,49556;2,49688;
0,101403;2,50619;2,49556;2,49688;
0,101413;2,50619;2,49556;2,49688;
0,101423;2,50619;2,49556;2,49688;
0,101433;2,50619;2,49556;2,49688;
0,101443;2,50619;2,49556;2,49688;
0,101453;2,50619;2,49556;2,49688;
0,101463;2,50619;2,49556;2,49688;
0,101473;2,50619;2,49556;2,49688;
0,101483;2,50619;2,49556;2,49688;
0,101493;2,50619;2,49556;2,49688;
0,101503;2,50619;2,49556;2,49688;
0,101513;2,50619;2,49556;2,49688;
0,101523;2,50619;2,49556;2,49688;
0,101533;2,50619;2,49556;2,49688;
0,101543;2,50619;2,49555;2,49689;
0,101553;2,50619;2,49555;2,49689;
0,101563;2,50619;2,49555;2,49689;
0,101573;2,50619;2,49555;2,49689;
0,101583;2,50619;2,49555;2,49689;
0,101593;2,50619;2,49555;2,49689;
0,101603;2,50619;2,49555;2,49689;
0,101613;2,50619;2,49555;2,49689;
0,101623;2,50619;2,49555;2,49689;
0,101633;2,50619;2,49555;2,49689;
0,101643;2,50619;2,49555;2,49689;
0,101653;2,50619;2,49555;2,49689;
0,101663;2,50619;2,49555;2,49689;
0,101673;2,50619;2,49555;2,49689;
0,101683;2,50619;2,49555;2,49689;
0,101693;2,50619;2,49555;2,49689;
0,101703;2,50619;2,49555;2,49689;
0,101713;2,50619;2,49555;2,49689;
0,101723;2,50619;2,49555;2,49689;
0,101733;2,50619;2,49555;2,49689;
0,101743;2,50619;2,49555;2,4969;
0,101753;2,50619;2,49555;2,4969;
0,101763;2,50619;2,49555;2,4969;
0,101773;2,50619;2,49555;2,4969;
0,101783;2,50619;2,49555;2,4969;
0,101793;2,50619;2,49555;2,4969;
0,101803;2,50619;2,49555;2,4969;
0,101813;2,50619;2,49555;2,4969;
0,101823;2,50619;2,49555;2,4969;
0,101833;2,50619;2,49555;2,4969;
0,101843;2,50619;2,49555;2,4969;
0,101853;2,50619;2,49555;2,4969;
0,101863;2,50619;2,49555;2,4969;
0,101873;2,50619;2,49554;2,4969;
0,101883;2,50619;2,49554;2,4969;
0,101893;2,50619;2,49554;2,4969;
0,101903;2,50619;2,49554;2,4969;
0,101913;2,50619;2,49554;2,4969;
0,101923;2,50619;2,49554;2,4969;
0,101933;2,50619;2,49554;2,4969;
0,101943;2,50619;2,49554;2,4969;
0,101953;2,50619;2,49554;2,4969;
