time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,101502;2,5064;2,49561;2,49693;
0,101512;2,50642;2,49573;2,49706;
0,101522;2,50633;2,49555;2,49688;
0,101532;2,50609;2,4954;2,49673;
0,101542;2,50644;2,49563;2,49696;
0,101552;2,50654;2,49585;2,49718;
0,101562;2,50645;2,49568;2,49701;
0,101572;2,50617;2,49549;2,49682;
0,101582;2,50639;2,49559;2,49692;
0,101592;2,50637;2,49568;2,49702;
0,101602;2,5063;2,49552;2,49686;
0,101612;2,50608;2,49539;2,49673;
0,101622;2,50642;2,49561;2,49695;
0,101632;2,50651;2,49582;2,49715;
0,101642;2,50642;2,49564;2,49698;
0,101652;2,50615;2,49546;2,4968;
0,101662;2,50641;2,4956;2,49694;
0,101672;2,50643;2,49574;2,49708;
0,101682;2,50633;2,49555;2,49689;
0,101692;2,50609;2,49539;2,49674;
0,101702;2,50644;2,49562;2,49697;
0,101712;2,50654;2,49585;2,49719;
0,101722;2,50645;2,49567;2,49702;
0,101732;2,50617;2,49548;2,49682;
0,101742;2,50639;2,49558;2,49693;
0,101752;2,50638;2,49568;2,49703;
0,101762;2,5063;2,49552;2,49687;
0,101772;2,50608;2,49539;2,49673;
0,101782;2,50642;2,49561;2,49695;
0,101792;2,50651;2,49582;2,49717;
0,101802;2,50643;2,49564;2,49699;
0,101812;2,50615;2,49545;2,49681;
0,101822;2,5064;2,49559;2,49695;
0,101832;2,50642;2,49572;2,49708;
0,101842;2,50633;2,49554;2,49689;
0,101852;2,50609;2,49539;2,49674;
0,101862;2,50644;2,49562;2,49697;
0,101872;2,50654;2,49584;2,4972;
0,101882;2,50645;2,49567;2,49702;
0,101892;2,50617;2,49547;2,49683;
0,101902;2,50639;2,49558;2,49694;
0,101912;2,50637;2,49567;2,49703;
0,101922;2,5063;2,49551;2,49687;
0,101932;2,50608;2,49538;2,49674;
0,101942;2,50642;2,4956;2,49696;
0,101952;2,50651;2,49581;2,49717;
0,101962;2,50642;2,49563;2,49699;
0,101972;2,50615;2,49545;2,49681;
0,101982;2,50641;2,49559;2,49695;
0,101992;2,50643;2,49572;2,49709;
0,102002;2,50633;2,49554;2,49691;
0,102012;2,50609;2,49538;2,49675;
0,102022;2,50644;2,49561;2,49698;
0,102032;2,50654;2,49584;2,4972;
0,102042;2,50645;2,49566;2,49703;
0,102052;2,50617;2,49547;2,49684;
0,102062;2,50639;2,49557;2,49694;
0,102072;2,50638;2,49567;2,49704;
0,102082;2,5063;2,49551;2,49688;
0,102092;2,50608;2,49538;2,49675;
0,102102;2,50642;2,4956;2,49697;
0,102112;2,50651;2,49581;2,49718;
0,102122;2,50642;2,49563;2,497;
0,102132;2,50615;2,49544;2,49682;
0,102142;2,5064;2,49558;2,49696;
0,102152;2,50642;2,49571;2,49709;
0,102162;2,50633;2,49553;2,49691;
0,102172;2,50609;2,49538;2,49675;
0,102182;2,50644;2,49561;2,49698;
0,102192;2,50654;2,49583;2,49721;
0,102202;2,50645;2,49566;2,49703;
0,102212;2,50617;2,49546;2,49684;
0,102222;2,50639;2,49557;2,49695;
0,102232;2,50637;2,49567;2,49704;
0,102242;2,5063;2,4955;2,49688;
0,102252;2,50608;2,49537;2,49675;
0,102262;2,50642;2,49559;2,49697;
0,102272;2,50651;2,4958;2,49718;
0,102282;2,50642;2,49562;2,497;
0,102292;2,50615;2,49544;2,49682;
0,102302;2,50641;2,49558;2,49696;
0,102312;2,50643;2,49572;2,4971;
0,102322;2,50633;2,49553;2,49691;
0,102332;2,50609;2,49537;2,49676;
0,102342;2,50644;2,49561;2,49699;
0,102352;2,50654;2,49583;2,49721;
0,102362;2,50645;2,49565;2,49704;
0,102372;2,50617;2,49546;2,49685;
0,102382;2,50639;2,49557;2,49695;
0,102392;2,50638;2,49566;2,49705;
0,102402;2,5063;2,4955;2,49689;
0,102412;2,50608;2,49537;2,49676;
0,102422;2,50642;2,49559;2,49697;
0,102432;2,50651;2,4958;2,49719;
0,102442;2,50642;2,49562;2,49701;
0,102452;2,50615;2,49544;2,49683;
0,102462;2,5064;2,49558;2,49697;
0,102472;2,50642;2,49571;2,4971;
0,102482;2,50633;2,49552;2,49691;
0,102492;2,50609;2,49537;2,49676;
0,102502;2,50644;2,4956;2,49699;
0,102512;2,50654;2,49582;2,49721;
0,102522;2,50645;2,49565;2,49704;
0,102532;2,50617;2,49546;2,49685;
0,102542;2,50639;2,49556;2,49695;
0,102552;2,50637;2,49566;2,49705;
0,102562;2,5063;2,4955;2,49689;
0,102572;2,50608;2,49537;2,49676;
0,102582;2,50642;2,49558;2,49698;
0,102592;2,50651;2,49579;2,49719;
0,102602;2,50642;2,49562;2,49701;
0,102612;2,50615;2,49543;2,49683;
0,102622;2,50641;2,49558;2,49697;
0,102632;2,50643;2,49571;2,4971;
0,102642;2,50633;2,49553;2,49692;
0,102652;2,50609;2,49537;2,49676;
0,102662;2,50644;2,4956;2,497;
