time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,101504;2,50612;2,50791;2,50791;
0,101514;2,5065;2,50791;2,50791;
0,101524;2,50663;2,50791;2,50791;
0,101534;2,50654;2,50791;2,50791;
0,101544;2,50626;2,50791;2,50791;
0,101554;2,50648;2,50791;2,50791;
0,101564;2,50647;2,50791;2,50791;
0,101574;2,50632;2,50791;2,50791;
0,101584;2,50611;2,50791;2,50791;
0,101594;2,5063;2,50791;2,50791;
0,101604;2,50629;2,50791;2,50791;
0,101614;2,50626;2,50791;2,50791;
0,101624;2,50613;2,50791;2,50791;
0,101634;2,50645;2,50791;2,50791;
0,101644;2,50653;2,50791;2,50791;
0,101654;2,50642;2,50791;2,50791;
0,101664;2,50617;2,50791;2,50791;
0,101674;2,50628;2,50791;2,50791;
0,101684;2,50622;2,50791;2,50791;
0,101694;2,50628;2,50791;2,50791;
0,101704;2,50618;2,50791;2,50791;
0,101714;2,50633;2,50791;2,50791;
0,101724;2,50629;2,50791;2,50791;
0,101734;2,50626;2,50791;2,50791;
0,101744;2,50613;2,50791;2,50791;
0,101754;2,50644;2,50791;2,50791;
0,101764;2,50652;2,50791;2,50791;
0,101774;2,50641;2,50791;2,50791;
0,101784;2,50616;2,50791;2,50791;
0,101794;2,50629;2,50791;2,50791;
0,101804;2,50623;2,50791;2,50791;
0,101814;2,50627;2,50791;2,50791;
0,101824;2,50617;2,50791;2,50791;
0,101834;2,50636;2,50791;2,50791;
0,101844;2,50633;2,50791;2,50791;
0,101854;2,50626;2,50791;2,50791;
0,101864;2,50612;2,50791;2,50791;
0,101874;2,50646;2,50791;2,50791;
0,101884;2,50656;2,50791;2,50791;
0,101894;2,50645;2,50791;2,50791;
0,101904;2,50619;2,50791;2,50791;
0,101914;2,50627;2,50791;2,50791;
0,101924;2,50619;2,50791;2,50791;
0,101934;2,50632;2,50791;2,50791;
0,101944;2,50626;2,50791;2,50791;
0,101954;2,50627;2,50791;2,50791;
0,101964;2,50615;2,50791;2,50791;
0,101974;2,5064;2,50791;2,50791;
0,101984;2,50641;2,50791;2,50791;
0,101994;2,50631;2,50791;2,50791;
0,102004;2,50612;2,50791;2,50791;
0,102014;2,50626;2,50791;2,50791;
0,102024;2,50623;2,50791;2,50791;
0,102034;2,50627;2,50791;2,50791;
0,102044;2,50617;2,50791;2,50791;
0,102054;2,50636;2,50791;2,50791;
0,102064;2,50634;2,50791;2,50791;
0,102074;2,50627;2,50792;2,50792;
0,102084;2,50612;2,50792;2,50792;
0,102094;2,50632;2,50792;2,50792;
0,102104;2,50631;2,50792;2,50792;
0,102114;2,50626;2,50792;2,50792;
0,102124;2,50612;2,50792;2,50792;
0,102134;2,50647;2,50792;2,50792;
0,102144;2,50658;2,50792;2,50792;
0,102154;2,50648;2,50792;2,50792;
0,102164;2,50621;2,50792;2,50792;
0,102174;2,50626;2,50792;2,50792;
0,102184;2,50617;2,50792;2,50792;
0,102194;2,50634;2,50792;2,50792;
0,102204;2,50631;2,50792;2,50792;
0,102214;2,50626;2,50792;2,50792;
0,102224;2,50612;2,50792;2,50792;
0,102234;2,50648;2,50792;2,50792;
0,102244;2,50659;2,50792;2,50792;
0,102254;2,5065;2,50792;2,50792;
0,102264;2,50622;2,50792;2,50792;
0,102274;2,50627;2,50792;2,50792;
0,102284;2,50617;2,50792;2,50792;
0,102294;2,50635;2,50792;2,50792;
0,102304;2,50632;2,50792;2,50792;
0,102314;2,50626;2,50792;2,50792;
0,102324;2,50612;2,50792;2,50792;
0,102334;2,50649;2,50792;2,50792;
0,102344;2,50661;2,50792;2,50792;
0,102354;2,50651;2,50792;2,50792;
0,102364;2,50623;2,50792;2,50792;
0,102374;2,50634;2,50792;2,50792;
0,102384;2,50625;2,50792;2,50792;
0,102394;2,50628;2,50792;2,50792;
0,102404;2,50617;2,50792;2,50792;
0,102414;2,50637;2,50792;2,50792;
0,102424;2,50635;2,50792;2,50792;
0,102434;2,50627;2,50792;2,50792;
0,102444;2,50611;2,50792;2,50792;
0,102454;2,50639;2,50792;2,50792;
0,102464;2,50643;2,50792;2,50792;
0,102474;2,50633;2,50792;2,50792;
0,102484;2,50613;2,50792;2,50792;
0,102494;2,50627;2,50792;2,50792;
0,102504;2,50623;2,50792;2,50792;
0,102514;2,50627;2,50792;2,50792;
0,102524;2,50617;2,50792;2,50792;
0,102534;2,50635;2,50792;2,50792;
0,102544;2,50633;2,50792;2,50792;
0,102554;2,50626;2,50792;2,50792;
0,102564;2,50612;2,50792;2,50792;
0,102574;2,50652;2,50792;2,50792;
0,102584;2,50668;2,50792;2,50792;
0,102594;2,5066;2,50792;2,50792;
0,102604;2,50632;2,50792;2,50792;
0,102614;2,50639;2,50792;2,50792;
0,102624;2,50627;2,50792;2,50792;
0,102634;2,50629;2,50792;2,50792;
0,102644;2,50617;2,50792;2,50792;
0,102654;2,50638;2,50792;2,50792;
0,102664;2,50636;2,50792;2,50792;
0,102674;2,50627;2,50792;2,50792;
0,102684;2,50611;2,50792;2,50792;
0,102694;2,5063;2,50792;2,50792;
0,102704;2,50629;2,50792;2,50792;
0,102714;2,50626;2,50792;2,50792;
0,102724;2,50613;2,50792;2,50792;
0,102734;2,50645;2,50792;2,50792;
0,102744;2,50652;2,50792;2,50792;
0,102754;2,50641;2,50792;2,50792;
0,102764;2,50616;2,50792;2,50792;
0,102774;2,50629;2,50792;2,50792;
0,102784;2,50623;2,50792;2,50792;
0,102794;2,50628;2,50792;2,50792;
0,102804;2,50617;2,50792;2,50792;
0,102814;2,50635;2,50792;2,50792;
0,102824;2,50631;2,50792;2,50792;
0,102834;2,50626;2,50792;2,50792;
0,102844;2,50612;2,50792;2,50792;
0,102854;2,50648;2,50792;2,50792;
0,102864;2,5066;2,50792;2,50792;
0,102874;2,5065;2,50792;2,50792;
0,102884;2,50623;2,50792;2,50792;
0,102894;2,50628;2,50792;2,50792;
0,102904;2,50618;2,50792;2,50792;
0,102914;2,50633;2,50792;2,50792;
0,102924;2,50628;2,50792;2,50792;
0,102934;2,50626;2,50792;2,50792;
0,102944;2,50613;2,50792;2,50792;
0,102954;2,50644;2,50792;2,50792;
0,102964;2,50651;2,50792;2,50792;
0,102974;2,5064;2,50792;2,50792;
0,102984;2,50615;2,50792;2,50792;
0,102994;2,50629;2,50792;2,50792;
0,103004;2,50624;2,50792;2,50792;
0,103014;2,50627;2,50792;2,50792;
0,103024;2,50616;2,50792;2,50792;
0,103034;2,50637;2,50792;2,50792;
0,103044;2,50636;2,50792;2,50792;
0,103054;2,50627;2,50792;2,50792;
0,103064;2,50611;2,50792;2,50792;
0,103074;2,50634;2,50792;2,50792;
0,103084;2,50634;2,50792;2,50792;
0,103094;2,50627;2,50792;2,50792;
0,103104;2,50612;2,50792;2,50792;
0,103114;2,50626;2,50792;2,50792;
0,103124;2,50623;2,50792;2,50792;
0,103134;2,50627;2,50792;2,50792;
0,103144;2,50617;2,50792;2,50792;
0,103154;2,50635;2,50792;2,50792;
0,103164;2,50632;2,50792;2,50792;
0,103174;2,50626;2,50792;2,50792;
0,103184;2,50612;2,50792;2,50792;
0,103194;2,50654;2,50792;2,50792;
0,103204;2,50671;2,50792;2,50792;
0,103214;2,50664;2,50792;2,50792;
0,103224;2,50636;2,50792;2,50792;
0,103234;2,50634;2,50792;2,50792;
0,103244;2,50617;2,50792;2,50792;
0,103254;2,50644;2,50792;2,50792;
0,103264;2,50648;2,50792;2,50792;
0,103274;2,50635;2,50792;2,50792;
0,103284;2,50613;2,50792;2,50792;
0,103294;2,5063;2,50792;2,50792;
0,103304;2,50627;2,50792;2,50792;
0,103314;2,50626;2,50792;2,50792;
0,103324;2,50614;2,50792;2,50792;
0,103334;2,50642;2,50792;2,50792;
0,103344;2,50647;2,50792;2,50792;
0,103354;2,50636;2,50792;2,50792;
0,103364;2,50613;2,50792;2,50792;
0,103374;2,50629;2,50792;2,50792;
0,103384;2,50625;2,50792;2,50792;
0,103394;2,50626;2,50792;2,50792;
0,103404;2,50615;2,50792;2,50792;
0,103414;2,50639;2,50792;2,50792;
0,103424;2,5064;2,50792;2,50792;
0,103434;2,5063;2,50792;2,50792;
0,103444;2,50612;2,50792;2,50792;
0,103454;2,50626;2,50792;2,50792;
0,103464;2,50623;2,50792;2,50792;
0,103474;2,50627;2,50792;2,50792;
0,103484;2,50617;2,50792;2,50792;
0,103494;2,50635;2,50792;2,50792;
0,103504;2,50632;2,50792;2,50792;
0,103514;2,50626;2,50792;2,50792;
0,103524;2,50612;2,50792;2,50792;
0,103534;2,50654;2,50792;2,50792;
0,103544;2,50672;2,50792;2,50792;
0,103554;2,50665;2,50792;2,50792;
0,103564;2,50637;2,50792;2,50792;
0,103574;2,50633;2,50792;2,50792;
0,103584;2,50615;2,50792;2,50792;
0,103594;2,50648;2,50792;2,50792;
0,103604;2,50657;2,50792;2,50792;
0,103614;2,50646;2,50792;2,50792;
0,103624;2,50618;2,50792;2,50792;
0,103634;2,50628;2,50792;2,50792;
0,103644;2,50621;2,50792;2,50792;
0,103654;2,50629;2,50792;2,50792;
0,103664;2,50621;2,50792;2,50792;
0,103674;2,5063;2,50792;2,50792;
0,103684;2,50622;2,50792;2,50792;
0,103694;2,50629;2,50792;2,50792;
0,103704;2,50619;2,50792;2,50792;
0,103714;2,50632;2,50792;2,50792;
0,103724;2,50626;2,50792;2,50792;
0,103734;2,50627;2,50792;2,50792;
0,103744;2,50615;2,50792;2,50792;
0,103754;2,50639;2,50792;2,50792;
0,103764;2,50641;2,50792;2,50792;
0,103774;2,5063;2,50792;2,50792;
0,103784;2,50612;2,50792;2,50792;
0,103794;2,50626;2,50792;2,50792;
0,103804;2,50623;2,50792;2,50792;
0,103814;2,50627;2,50792;2,50792;
0,103824;2,50617;2,50792;2,50792;
0,103834;2,50635;2,50792;2,50792;
0,103844;2,50633;2,50792;2,50792;
0,103854;2,50626;2,50792;2,50792;
0,103864;2,50612;2,50792;2,50792;
0,103874;2,50651;2,50792;2,50792;
0,103884;2,50665;2,50792;2,50792;
0,103894;2,50657;2,50792;2,50792;
0,103904;2,50629;2,50792;2,50792;
0,103914;2,50644;2,50792;2,50792;
0,103924;2,50636;2,50792;2,50792;
0,103934;2,50626;2,50792;2,50792;
0,103944;2,50611;2,50792;2,50792;
0,103954;2,50631;2,50792;2,50792;
0,103964;2,50631;2,50792;2,50792;
0,103974;2,50626;2,50792;2,50792;
0,103984;2,50612;2,50792;2,50792;
0,103994;2,50647;2,50792;2,50792;
0,104004;2,50657;2,50792;2,50792;
0,104014;2,50647;2,50792;2,50792;
0,104024;2,5062;2,50792;2,50792;
0,104034;2,50626;2,50792;2,50792;
0,104044;2,50617;2,50792;2,50792;
0,104054;2,50633;2,50792;2,50792;
0,104064;2,50629;2,50792;2,50792;
0,104074;2,50626;2,50792;2,50792;
0,104084;2,50613;2,50792;2,50792;
0,104094;2,50645;2,50792;2,50792;
0,104104;2,50654;2,50792;2,50792;
0,104114;2,50643;2,50792;2,50792;
0,104124;2,50617;2,50792;2,50792;
0,104134;2,50628;2,50792;2,50792;
0,104144;2,50622;2,50792;2,50792;
0,104154;2,50628;2,50792;2,50792;
0,104164;2,50619;2,50792;2,50792;
